,Sentence,YTest,YPred
0,The villager cultivated the crop.,0.962121212121212,0.5606468319892883
1,The crop cultivated the villager.,0.0579710144927536,0.5606468319892883
2,The friend donned the pullover.,0.883333333333333,0.5972586870193481
3,The pullover donned the friend.,0.16,0.5972586870193481
4,The supervisor supplied the liquor.,0.855072463768116,0.5860002636909485
5,The liquor supplied the supervisor.,0.111111111111111,0.5860002636909485
6,The mogul governed the corporation.,0.813333333333333,0.5860002636909485
7,The corporation governed the mogul.,0.492424242424242,0.5860002636909485
8,The principal scolded the child.,0.958333333333333,0.5606468319892883
9,The child scolded the principal.,0.347222222222222,0.5606468319892883
10,The joker tricked the distributor.,0.893939393939394,0.5606468319892883
11,The distributor tricked the joker.,0.583333333333333,0.5606468319892883
12,The supremacist established the fund.,0.7826086956521741,0.5860002636909485
13,The fund established the supremacist.,0.26,0.5860002636909485
14,The nun reproached the hedonist.,0.7638888888888891,0.6209695339202881
15,The hedonist reproached the nun.,0.54320987654321,0.6209695339202881
16,The amateur irked the maestro.,0.846666666666667,0.5972586870193481
17,The maestro irked the amateur.,0.795454545454545,0.5972586870193481
18,The crackhead smoked the pipe.,0.9066666666666671,0.5606468319892883
19,The pipe smoked the crackhead.,0.0151515151515151,0.5606468319892883
20,The nanny tutored the boy.,0.96969696969697,0.5972586870193481
21,The boy tutored the nanny.,0.3666666666666671,0.5972586870193481
22,The financier sponsored the project.,0.934782608695652,0.5972586870193481
23,The project sponsored the financier.,0.16025641025641,0.5972586870193481
24,The au pair spanked the girl.,0.712121212121212,0.5972586870193481
25,The girl spanked the au pair.,0.27333333333333304,0.5972586870193481
26,The advisor edited the paper.,0.9,0.5860002636909485
27,The paper edited the advisor.,0.0,0.5860002636909485
28,The convalescent took the pill.,0.7971014492753621,0.5972586870193481
29,The pill took the convalescent.,0.08,0.5972586870193481
30,The vagabond revered the priest.,0.683333333333333,0.5972586870193481
31,The priest revered the vagabond.,0.44,0.5972586870193481
32,The adventurer requested the beverage.,0.8888888888888891,0.5860002636909485
33,The beverage requested the adventurer.,0.0733333333333333,0.5860002636909485
34,The announcer mispronounced the word.,0.9513888888888891,0.5972586870193481
35,The word mispronounced the announcer.,0.04,0.5972586870193481
36,The paramedic revived the youth.,0.88,0.5606468319892883
37,The youth revived the paramedic.,0.492424242424242,0.5606468319892883
38,The teacher bought the laptop.,1.0,0.5860002636909485
39,The laptop bought the teacher.,0.0266666666666667,0.5860002636909485
40,The hatter decorated the bowler.,0.465277777777778,0.5972586870193481
41,The bowler decorated the hatter.,0.296296296296296,0.5972586870193481
42,The attendant pressed the button.,0.9375,0.5860002636909485
43,The button pressed the attendant.,0.04,0.5860002636909485
44,The deckhand unlocked the door.,0.8257575757575759,0.5606468319892883
45,The door unlocked the deckhand.,0.0227272727272727,0.5606468319892883
46,The potter molded the clay.,0.9814814814814821,0.5606468319892883
47,The clay molded the potter.,0.0454545454545454,0.5606468319892883
48,The deceiver imitated the conqueror.,0.716666666666667,0.6209695339202881
49,The conqueror imitated the deceiver.,0.506666666666667,0.6209695339202881
50,The secretary organized the desk.,0.9772727272727271,0.5860002636909485
51,The desk organized the secretary.,0.04,0.5860002636909485
52,The representative gave the address.,0.886666666666667,0.5805286765098572
53,The address gave the representative.,0.0208333333333333,0.5805286765098572
54,The researcher found the remedy.,0.9097222222222221,0.5805286765098572
55,The remedy found the researcher.,0.15432098765432098,0.5805286765098572
56,The admirer badgered the director.,0.666666666666667,0.5810535550117493
57,The director badgered the admirer.,0.7142857142857142,0.5810535550117493
58,The anthropologist studied the tribesman.,0.86231884057971,0.5810535550117493
59,The tribesman studied the anthropologist.,0.579710144927536,0.5810535550117493
60,The president pardoned the traitor.,0.8863636363636359,0.5671608448028564
61,The traitor pardoned the president.,0.0869565217391304,0.5671608448028564
62,The alcoholic hassled the guest.,0.985507246376812,0.5810535550117493
63,The guest hassled the alcoholic.,0.694444444444445,0.5810535550117493
64,The domestic cleaned the wash basin.,0.555555555555555,0.5671608448028564
65,The wash basin cleaned the domestic.,0.11805555555555601,0.5671608448028564
66,The supervisor supplied the liquor.,0.855072463768116,0.5805286765098572
67,The liquor supplied the supervisor.,0.111111111111111,0.5805286765098572
68,The genius shocked the cousin.,0.826086956521739,0.5805286765098572
69,The cousin shocked the genius.,0.726666666666667,0.5805286765098572
70,The advisor edited the paper.,0.9,0.5805286765098572
71,The paper edited the advisor.,0.0,0.5805286765098572
72,The crackhead smoked the pipe.,0.9066666666666671,0.5671608448028564
73,The pipe smoked the crackhead.,0.0151515151515151,0.5671608448028564
74,The groundskeeper changed the light bulb.,0.9772727272727271,0.5810535550117493
75,The light bulb changed the groundskeeper.,0.0,0.5810535550117493
76,The headmaster reprimanded the kid.,0.9782608695652171,0.5810535550117493
77,The kid reprimanded the headmaster.,0.27333333333333304,0.5810535550117493
78,The bum stole the necklace.,0.8106060606060609,0.5805286765098572
79,The necklace stole the bum.,0.0066666666666666706,0.5805286765098572
80,The fan pestered the filmmaker.,0.946969696969697,0.5671608448028564
81,The filmmaker pestered the fan.,0.484848484848485,0.5671608448028564
82,The page obeyed the noble.,0.5617283950617281,0.5671608448028564
83,The noble obeyed the page.,0.348484848484848,0.5671608448028564
84,The teacher bought the laptop.,1.0,0.5805286765098572
85,The laptop bought the teacher.,0.0266666666666667,0.5805286765098572
86,The logger felled the pine tree.,0.858333333333333,0.5810535550117493
87,The pine tree felled the logger.,0.166666666666667,0.5810535550117493
88,The EMT resuscitated the youngster.,0.880952380952381,0.5810535550117493
89,The youngster resuscitated the EMT.,0.4166666666666671,0.5810535550117493
90,The professional supported the beginner.,0.9487179487179491,0.5805286765098572
91,The beginner supported the professional.,0.6736111111111109,0.5805286765098572
92,The brunette tipped the busboy.,0.944444444444445,0.5810535550117493
93,The busboy tipped the brunette.,0.45138888888888895,0.5810535550117493
94,The miscreant kidnapped the beneficiary.,0.75,0.5810535550117493
95,The beneficiary kidnapped the miscreant.,0.43939393939393895,0.5810535550117493
96,The imitator fooled the investigator.,0.841269841269841,0.5810535550117493
97,The investigator fooled the imitator.,0.696969696969697,0.5810535550117493
98,The ditch digger bent the wire.,0.746666666666667,0.5810535550117493
99,The wire bent the ditch digger.,0.145833333333333,0.5810535550117493
100,The bellboy erased the message.,0.7777777777777779,0.5671608448028564
101,The message erased the bellboy.,0.11363636363636401,0.5671608448028564
102,The cartoonist sketched the unicyclist.,0.958333333333333,0.5845423936843872
