0,The waiter mixed the cement.,The teacher gave the drug.,The chemist mixed the music.,The baker gathered the soldier.,The goalkeeper threw the bomb.,The producer released the prisoner.,The mason fixed the bike.,The waiter opened the sarcophagus.,The cat drank the coffee.,The child lent the car.,The producer released the prisoner.,The surfer rode the camel.,The waiter brought the guitar.,The hairstylist fixed the bike.,The government offered the drink.,The soldier gathered the ball.,The archeologist examined the dog.,The fisherman sold the drug.,The professor opened the jail.,The sculptor taught the skydiving.,The farmer picked the killer.,The child opened the congress.,The horse moved the suitcase.,The professor opened the jail.,The sculptor taught the skydiving.,The waiter mixed the cement.,The confectioner spread the cement.,The waiter poured the gasoline.,The surfer rode the camel.,The child lent the car.,The nurse pushed the mower.,The surgeon examined the car.,The businessman tied the prisoner.,The goalkeeper threw the bomb.,The footballer kicked the vase.,The producer released the prisoner.,The butcher sold the weapon.,The sculptor taught the skydiving.,The hairstylist sprayed the pesticide.,The child lent the car.,The mechanic assembled the art.,The player touched the flower.,The cat drank the coffee.,The goalkeeper threw the bomb.,The footballer kicked the vase.,The mechanic spread the chocolate.,The general won the toy.,The surfer rode the camel.,The waiter prepared the bomb.,The footballer passed the knife.
1,The pilot started the race.,The bartender handed the lancet.,The mechanic assembled the art.,The guard opened the present.,The mechanic fixed the roof.,The photographer used the stethoscope.,The child told the verdict.,The skier gained the ball.,The painter painted the toenail.,The nurse handed the hose.,The student read the hand.,The priest taught the chemistry.,The child chased the thief.,The hairstylist sprayed the pesticide.,The witness explained the equation.,The carpenter grabbed the ball.,The surfer wore the tuxedo.,The painter painted the toenail.,The roofer climbed the rock.,The carpenter fixed the shoe.,The secretary wrote the sonet.,The artist assembled the tent.,The spy passed the frisbee.,The billionaire donated the money.,The knight held the camera.,The photographer used the stethoscope.,The surfer wore the tie.,The soldier fought the enemy.,The confectioner spread the cement.,The carpenter fixed the shoe.,The painter painted the toenail.,The dealer examined the plant.,The surfer wore the tuxedo.,The singer performed the trick.,The monkey grabbed the board.,The guard opened the present.,The singer performed the trick.,The priest taught the chemistry.,The climber used the blackboard.,The child chased the thief.,The child picked the investment.,The ant stacked the suitcase.,The witness explained the equation.,The child chased the thief.,The child grabbed the tyre.,The professor opened the jail.,The deejay mixed the ingredient.,The climber used the blackboard.,The secretary wrote the sonet.,The hairstylist sprayed the pesticide.
2,The ant stacked the suitcase.,The student used the saw.,The painter painted the toenail.,The dog pulled the trigger.,The surfer wore the tie.,The confectioner spread the cement.,The government offered the protection.,The government offered the drink.,The carpenter fixed the shoe.,The employer offered the candy.,The mechanic fixed the roof.,The model faced the mountain.,The ant stacked the suitcase.,The chauffeur carried the rifle.,The archeologist examined the dog.,The ant stacked the suitcase.,The mason built the snowman.,The professor opened the jail.,The model faced the mountain.,The child wrote the diagnosis.,The child lent the car.,The gardener decorated the book.,The biker wore the swimsuit.,The surfer wore the tuxedo.,The receiver caught the wave.,The policeman checked the groceries.,The child enjoyed the lecture.,The carver built the house.,The violinist played the trumpet.,The surfer wore the tie.,The waiter cut the hair.,The ant stacked the suitcase.,The secretary wrote the sonet.,The gardener decorated the book.,The student used the saw.,The student used the saw.,The biker wore the swimsuit.,The nurse pushed the mower.,The musician played the soccer.,The surfer wore the tuxedo.,The waiter delivered the speech.,The terrorist released the book.,The butcher sold the weapon.,The terrorist released the hostage.,The cobbler sewed the parachute.,The illusionist performed the surgery.,The child wrote the diagnosis.,The waiter cut the hair.,The tourist visited the museum.,The woman opened the manhole.
3,The musician read the menu.,The illusionist performed the surgery.,The child chased the thief.,The nurse pushed the mower.,The student used the saw.,The child rode the bull.,The professor taught the karate.,The tourist visited the museum.,The boss assigned the medal.,The sergeant assigned the homework.,The carver built the house.,The student passed the river.,The student used the saw.,The beautician spread the paint.,The mason built the snowman.,The butcher sold the weapon.,The tourist visited the museum.,The illusionist performed the surgery.,The musician played the soccer.,The nurse handed the hose.,The boss assigned the medal.,The receiver caught the wave.,The child told the verdict.,The nurse pushed the mower.,The billionaire donated the money.,The housemaid mopped the barracks.,The bartender shook the flag.,The housemaid cleaned the street.,The bartender handed the lancet.,The biker wore the swimsuit.,The confectioner spread the cement.,The painter painted the toenail.,The barber used the microscope.,The surfer wore the tuxedo.,The general gathered the bread.,The billionaire donated the book.,The model faced the mountain.,The violinist played the trumpet.,The billionaire donated the money.,The cobbler fixed the phone.,The porter loaded the luggage.,The waiter cut the hair.,The secretary wrote the sonet.,The porter loaded the file.,The boss assigned the medal.,The surfer caught the baseball.,The surfer wore the tuxedo.,The general gathered the bread.,The student used the saw.,The cobbler fixed the phone.
4,The doctor sewed the shoe.,The child cut the tree.,The housemaid cleaned the street.,The soldier fought the enemy.,The archeologist examined the dog.,The surfer flipped the pancake.,The student read the hand.,The baker gathered the soldier.,The climber faced the ocean.,The doctor offered the breakfast.,The sailor tied the necktie.,The musician played the soccer.,The deejay mixed the ingredient.,The child told the verdict.,The child ate the bone.,The blacksmith poured the wine.,The bartender shook the flag.,The general sent the postcard.,The illusionist performed the surgery.,The hostess explained the poem.,The demonstrator threw the frisbee.,The employer offered the candy.,The collector donated the painting.,The violinist played the trumpet.,The hostess explained the poem.,The student used the saw.,The general gathered the bread.,The receiver caught the wave.,The child rode the bull.,The veterinarian examined the plant.,The nurse pushed the mower.,The surfer wore the tie.,The child wrote the diagnosis.,The carpenter fixed the shoe.,The jockey rode the wave.,The student used the saw.,The housemaid cleaned the street.,The witness reported the birth.,The bartender handed the lancet.,The child chased the thief.,The musician played the soccer.,The terrorist released the book.,The child wrote the diagnosis.,The collector donated the painting.,The terrorist released the hostage.,The child enjoyed the lecture.,The demonstrator threw the frisbee.,The footballer kicked the vase.,The violinist played the trumpet.,The employer offered the candy.
5,The footballer kicked the vase.,The cobbler fixed the phone.,The barber used the microscope.,The surfer wore the tie.,The climber used the blackboard.,The surfer caught the baseball.,The hostess explained the procedure.,The hostess explained the poem.,The guard opened the present.,The mason built the snowman.,The student read the hand.,The dog caught the wave.,The child found the corpse.,The climber used the blackboard.,The passenger pulled the corpse.,The farmer sold the corn.,The billionaire donated the money.,The painter decorated the cake.,The child picked the investment.,The undertaker dug the trench.,The roofer climbed the rock.,The surgeon examined the patient.,The child told the verdict.,The climber faced the ocean.,The actor won the battle.,The witness explained the equation.,The butcher sold the weapon.,The surfer caught the baseball.,The climber faced the ocean.,The child told the verdict.,The government offered the drink.,The general sent the postcard.,The cat drank the coffee.,The violinist played the trumpet.,The priest celebrated the marriage.,The general gathered the bread.,The general won the toy.,The surfer wore the tie.,The carpenter fixed the shoe.,The guard opened the present.,The traveller checked the bag.,The passenger pulled the corpse.,The child wrote the diagnosis.,The collector donated the painting.,The child found the corpse.,The jockey rode the wave.,The witness reported the birth.,The deejay mixed the ingredient.,The undertaker dug the trench.,The musician played the soccer.
6,The lumberjack stacked the book.,The professor opened the jail.,The barber used the microscope.,The nurse handed the hose.,The waiter mixed the cement.,The general won the toy.,The lumberjack used the lancet.,The surfer wore the tuxedo.,The surfer wore the tie.,The bartender handed the lancet.,The witness reported the birth.,The general gathered the bread.,The child chased the thief.,The professor taught the karate.,The horse drew the carriage.,The musician played the soccer.,The child picked the investment.,The horse drew the carriage.,The receiver caught the wave.,The cat drank the coffee.,The boxer delivered the drink.,The waiter mixed the cement.,The barber used the microscope.,The soldier fought the enemy.,The professor taught the karate.,The singer performed the trick.,The passenger passed the check.,The soldier released the film.,The child told the verdict.,The cyclist rode the skates.,The violinist played the trumpet.,The journalist wrote the song.,The snowboarder flipped the board.,The sailor faced the wall.,The boxer delivered the drink.,The climber faced the ocean.,The boxer delivered the drink.,The violinist played the trumpet.,The dog pulled the trigger.,The confectioner spread the cement.,The customer read the music.,The footballer kicked the vase.,The confectioner spread the cement.,The porter loaded the file.,The dog pulled the trigger.,The programmer described the software.,The professor opened the jail.,The waiter cut the hair.,The sailor faced the wall.,The woman opened the manhole.
7,The terrorist released the book.,The dog pulled the trigger.,The soldier fought the enemy.,The terrorist released the hostage.,The confectioner spread the cement.,The journalist wrote the song.,The nurse pushed the mower.,The barber used the microscope.,The nurse handed the hose.,The cat drank the coffee.,The gardener cut the fish.,The general gathered the bread.,The carver built the house.,The confectioner spread the cement.,The boxer delivered the drink.,The professor taught the karate.,The horse drew the carriage.,The surfer wore the tie.,The dog pulled the trigger.,The painter painted the toenail.,The surgeon examined the patient.,The butcher sold the weapon.,The carpenter fixed the shoe.,The student read the hand.,The sailor faced the wall.,The baker gathered the soldier.,The cyclist rode the skates.,The cat drank the coffee.,The professor taught the karate.,The child told the verdict.,The student completed the marathon.,The cobbler sewed the parachute.,The snowboarder flipped the board.,The nurse pushed the mower.,The climber used the blackboard.,The housemaid cleaned the street.,The sailor faced the wall.,The child chased the thief.,The painter painted the toenail.,The surfer rode the camel.,The hostess explained the procedure.,The butcher sold the weapon.,The nurse pushed the mower.,The professor taught the karate.,The bartender handed the lancet.,The hound fetched the money.,The musician played the soccer.,The nurse handed the hose.,The nurse pushed the mower.,The surfer wore the tie.
8,The child wrote the diagnosis.,The monkey grabbed the board.,The burglar climbed the rock.,The biker wore the swimsuit.,The boxer delivered the drink.,The child climbed the mountain.,The baker gathered the soldier.,The anchorman told the parable.,The bodybuilder lifted the weight.,The woman opened the manhole.,The child rode the bull.,The student sent the bomb.,The cyclist rode the skates.,The receiver caught the wave.,The journalist wrote the song.,The monkey grabbed the board.,The policeman checked the groceries.,The waiter mixed the cement.,The child picked the investment.,The butcher sold the weapon.,The demonstrator threw the frisbee.,The nurse pushed the mower.,The nurse handed the hose.,The journalist wrote the song.,The child rode the bull.,The mother held the flag.,The programmer loaded the ammunition.,The mother held the child.,The barber used the microscope.,The child wrote the diagnosis.,The gardener cut the fish.,The professor taught the karate.,The terrorist released the book.,The terrorist released the hostage.,The guard opened the present.,The diplomat carried the message.,The doctor sewed the shoe.,The biker wore the swimsuit.,The climber faced the ocean.,The nurse pushed the mower.,The child picked the investment.,The student read the hand.,The child told the verdict.,The violinist played the trumpet.,The general gathered the bread.,The hostess explained the procedure.,The child wrote the diagnosis.,The child chased the thief.,The receiver caught the wave.,The biker wore the swimsuit.
9,The referee moved the ball.,The monkey grabbed the board.,The barber used the microscope.,The woman opened the manhole.,The snowboarder flipped the board.,The confectioner spread the cement.,The hairstylist washed the hair.,The waiter cut the hair.,The terrorist released the book.,The terrorist released the hostage.,The child picked the investment.,The snowboarder flipped the board.,The biker wore the swimsuit.,The butcher sold the weapon.,The soldier fought the enemy.,The roofer climbed the rock.,The horse drew the carriage.,The firefighter fought the crime.,The violinist played the trumpet.,The doctor sewed the shoe.,The traveller checked the bag.,The government offered the protection.,The violinist played the trumpet.,The footballer kicked the vase.,The roofer climbed the rock.,The painter painted the toenail.,The child wrote the diagnosis.,The fisherman caught the ball.,The dog pulled the trigger.,The carpenter fixed the shoe.,The surgeon examined the patient.,The terrorist released the book.,The gardener cut the fish.,The terrorist released the hostage.,The bodybuilder lifted the weight.,The programmer described the software.,The spectator bought the car.,The collector donated the painting.,The painter painted the toenail.,The climber faced the ocean.,The child told the verdict.,The hairstylist washed the hair.,The bartender handed the drink.,The burglar climbed the rock.,The bartender handed the lancet.,The porter loaded the file.,The snowboarder flipped the bike.,The cat drank the coffee.,The painter painted the toenail.,The snowboarder flipped the board.
