ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType,agent,patient,sentence,verb
1,active,plausible,The raider caught the illness.,The raider caught the illness.,AI,6.871091295,9.653614941,10.84245888,8.193953024
1,active,implausible,The illness caught the raider.,The raider caught the illness.,AI,9.653614941,6.871091295,10.84245888,8.193953024
2,active,plausible,The marauder contracted the disease.,The marauder contracted the disease.,AI,7.11395611,11.07652681,11.10449228,11.49012756
2,active,implausible,The disease contracted the marauder.,The marauder contracted the disease.,AI,11.07652681,7.11395611,11.10449228,11.49012756
3,active,plausible,The convict dreaded the prison.,The convict dreaded prison.,AI,10.38263673,10.92222656,11.60318838,9.995793223
3,active,implausible,The prison dreaded the convict.,The convict dreaded prison.,AI,10.92222656,10.38263673,11.60318838,9.995793223
4,active,plausible,The criminal feared the jail.,The criminal feared jail.,AI,10.07483242,9.992276515,11.50477123,11.13217736
4,active,implausible,The jail feared the criminal.,The criminal feared jail.,AI,9.992276515,10.07483242,11.50477123,11.13217736
5,active,plausible,The prostitute squandered the cash.,The prostitute squandered the cash.,AI,8.633196867,10.36741023,11.00991983,8.718990525
5,active,implausible,The cash squandered the prostitute.,The prostitute squandered the cash.,AI,10.36741023,8.633196867,11.00991983,8.718990525
6,active,plausible,The call girl wasted the money.,The call girl wasted the money.,AI,6.216606101,11.14158638,11.8328724,10.83987499
6,active,implausible,The money wasted the call girl.,The call girl wasted the money.,AI,11.14158638,6.216606101,11.8328724,10.83987499
7,active,plausible,The adventurer requested the beverage.,The adventurer requested a beverage.,AI,8.103494278,8.118802997,10.8431552,10.31486846
7,active,implausible,The beverage requested the adventurer.,The adventurer requested a beverage.,AI,8.118802997,8.103494278,10.8431552,10.31486846
8,active,plausible,The undertaker prepared the funeral.,The undertaker prepared the funeral.,AI,7.614805365,9.224736252,11.1342941,11.27762077
8,active,implausible,The funeral prepared the undertaker.,The undertaker prepared the funeral.,AI,9.224736252,7.614805365,11.1342941,11.27762077
