"","WorkerId","Score","Plausibility","ItemNum","Sentence","Experiment","TrialType","Voice"
"1","A2M5OXOREG5HYY",1,"Implausible",17,"The woman is biting the vampire.","EventsRev","AAN","active"
"2","A2M5OXOREG5HYY",7,"Plausible",23,"The judge is sentencing the criminal.","EventsRev","AAN","active"
"3","A2M5OXOREG5HYY",7,"Implausible",20,"The lady is cooking for the chef.","EventsRev","AAN","active"
"4","A2M5OXOREG5HYY",3,"Implausible",3,"The patient is using a stethoscope on the doctor.","EventsRev","AAN","active"
"5","A2M5OXOREG5HYY",7,"Plausible",14,"The priest is blessing the bride.","EventsRev","AAN","active"
"6","A2M5OXOREG5HYY",3,"Implausible",8,"The businessman is painting the artist.","EventsRev","AAN","active"
"7","A2M5OXOREG5HYY",7,"Plausible",18,"The waiter is serving the customer.","EventsRev","AAN","active"
"8","A2M5OXOREG5HYY",7,"Plausible",2,"The babysitter is scolding the child.","EventsRev","AAN","active"
"9","A2M5OXOREG5HYY",4,"Implausible",19,"The beggar is giving money to the lawyer.","EventsRev","AAN","active"
"10","A2M5OXOREG5HYY",7,"Plausible",7,"The mother is feeding the baby.","EventsRev","AAN","active"
"11","A2M5OXOREG5HYY",3,"Implausible",6,"The girl is frightening the ghost.","EventsRev","AAN","active"
"12","A2M5OXOREG5HYY",4,"Implausible",33,"The worker is yelling at the boss.","EventsRev","AAN","active"
"13","A2M5OXOREG5HYY",3,"Implausible",1,"The criminal is arresting the cop.","EventsRev","AAN","active"
"14","A2M5OXOREG5HYY",5,"Implausible",35,"The woman is preventing the bouncer from entering.","EventsRev","AAN","active"
"15","A2M5OXOREG5HYY",5,"Plausible",25,"Santa is giving the girl a present.","EventsRev","AAN","active"
"16","A2M5OXOREG5HYY",6,"Plausible",16,"The professor is lecturing to the student.","EventsRev","AAN","active"
"17","A2M5OXOREG5HYY",6,"Plausible",4,"The fireman is rescuing the grandmother.","EventsRev","AAN","active"
"18","A2M5OXOREG5HYY",5,"Implausible",15,"The snorkeler is biting the shark.","EventsRev","AAN","active"
"19","A2M5OXOREG5HYY",4,"Plausible",12,"The photographer is taking a picture of the model.","EventsRev","AAN","active"
