,Sentence,YTest,YPred
0,The teacher bought the laptop.,1.0,0.5050650238990784
1,The laptop bought the teacher.,0.0266666666666667,0.5050650238990784
2,The researcher found the remedy.,0.9097222222222221,0.5050650238990784
3,The remedy found the researcher.,0.15432098765432098,0.5050650238990784
4,The chef sauteed the squid.,0.841269841269841,0.4931798279285431
5,The squid sauteed the chef.,0.0,0.4931798279285431
6,The author finished the novel.,1.0,0.5050650238990784
7,The novel finished the author.,0.08,0.5050650238990784
8,The groundskeeper changed the light bulb.,0.9772727272727271,0.4931798279285431
9,The light bulb changed the groundskeeper.,0.0,0.4931798279285431
10,The instructor purchased the computer.,0.953333333333333,0.5050650238990784
11,The computer purchased the instructor.,0.053030303030303,0.5050650238990784
12,The accountant made the chart.,1.0,0.5050650238990784
13,The chart made the accountant.,0.15,0.5050650238990784
14,The diver recharged the battery.,0.856060606060606,0.4875342845916748
15,The battery recharged the diver.,0.0277777777777778,0.4875342845916748
16,The constable examined the property.,0.931818181818182,0.4875342845916748
17,The property examined the constable.,0.0,0.4875342845916748
18,The soldier raised the banner.,0.971014492753623,0.5050650238990784
19,The banner raised the soldier.,0.0579710144927536,0.5050650238990784
20,The hacker memorized the password.,0.9652777777777779,0.4875342845916748
21,The password memorized the hacker.,0.0454545454545454,0.4875342845916748
22,The agent failed the mission.,0.962121212121212,0.5050650238990784
23,The mission failed the agent.,0.0833333333333333,0.5050650238990784
24,The guide reached the target.,0.87962962962963,0.5050650238990784
25,The target reached the guide.,0.37878787878787895,0.5050650238990784
26,The minuteman loaded the gun.,0.895833333333333,0.4929361939430237
27,The gun loaded the minuteman.,0.0416666666666667,0.4929361939430237
28,The travel-agent photocopied the passport.,0.985507246376812,0.4914889633655548
29,The passport photocopied the travel-agent.,0.0072463768115942,0.4914889633655548
30,The caseworker posed the question.,0.8888888888888891,0.4929361939430237
31,The question posed the caseworker.,0.11363636363636401,0.4929361939430237
32,The supremacist established the fund.,0.7826086956521741,0.5144602060317993
33,The fund established the supremacist.,0.26,0.5144602060317993
34,The carnivore ate the steak.,0.96,0.4864029288291931
35,The steak ate the carnivore.,0.0303030303030303,0.4864029288291931
36,The sheriff inspected the estate.,0.9015151515151508,0.5144602060317993
37,The estate inspected the sheriff.,0.138888888888889,0.5144602060317993
38,The supervisor supplied the liquor.,0.855072463768116,0.5144602060317993
39,The liquor supplied the supervisor.,0.111111111111111,0.5144602060317993
40,The boyfriend basted the turkey.,0.9242424242424241,0.4864029288291931
41,The turkey basted the boyfriend.,0.0144927536231884,0.4864029288291931
42,The teacher bought the laptop.,1.0,0.5144602060317993
43,The laptop bought the teacher.,0.0266666666666667,0.5144602060317993
44,The comedian confirmed the itinerary.,0.8402777777777779,0.4864029288291931
45,The itinerary confirmed the comedian.,0.23809523809523803,0.4864029288291931
46,The house sitter watered the plant.,0.893939393939394,0.4929361939430237
47,The plant watered the house sitter.,0.0,0.4929361939430237
48,The bellboy erased the message.,0.7777777777777779,0.4864029288291931
49,The message erased the bellboy.,0.11363636363636401,0.4864029288291931
50,The bum stole the necklace.,0.8106060606060609,0.5144602060317993
51,The necklace stole the bum.,0.0066666666666666706,0.5144602060317993
52,The logger felled the pine tree.,0.858333333333333,0.49177196621894836
53,The pine tree felled the logger.,0.166666666666667,0.49177196621894836
54,The call girl wasted the money.,0.841269841269841,0.49038180708885193
55,The money wasted the call girl.,0.0151515151515151,0.49038180708885193
56,The ditch digger bent the wire.,0.746666666666667,0.49177196621894836
57,The wire bent the ditch digger.,0.145833333333333,0.49177196621894836
58,The confectioner sprinkled the sugar.,0.9523809523809521,0.49177196621894836
59,The sugar sprinkled the confectioner.,0.0072463768115942,0.49177196621894836
60,The cellist received the prize.,0.919753086419753,0.49038180708885193
61,The prize received the cellist.,0.0555555555555555,0.49038180708885193
62,The potter molded the clay.,0.9814814814814821,0.49038180708885193
63,The clay molded the potter.,0.0454545454545454,0.49038180708885193
64,The humorist verified the schedule.,0.731884057971015,0.49038180708885193
65,The schedule verified the humorist.,0.166666666666667,0.49038180708885193
66,The manicurist rescheduled the appointment.,0.916666666666667,0.48865389823913574
67,The appointment rescheduled the manicurist.,0.128787878787879,0.48865389823913574
68,The pilot steered the airplane.,0.9753086419753091,0.511954128742218
69,The airplane steered the pilot.,0.0634920634920635,0.511954128742218
70,The overseer provided the alcohol.,0.686666666666667,0.49038180708885193
71,The alcohol provided the overseer.,0.0833333333333333,0.49038180708885193
72,The couch-potato forgot the umbrella.,0.681159420289855,0.4927384853363037
73,The umbrella forgot the couch-potato.,0.0133333333333333,0.4927384853363037
74,The teacher bought the laptop.,1.0,0.511954128742218
75,The laptop bought the teacher.,0.0266666666666667,0.511954128742218
76,The hacker memorized the password.,0.9652777777777779,0.49038180708885193
77,The password memorized the hacker.,0.0454545454545454,0.49038180708885193
78,The cook grilled the octopus.,0.962121212121212,0.48546653985977173
79,The octopus grilled the cook.,0.0416666666666667,0.48546653985977173
80,The aviator maneuvered the jet.,0.916666666666667,0.49578410387039185
81,The jet maneuvered the aviator.,0.0925925925925926,0.49578410387039185
82,The friend donned the pullover.,0.883333333333333,0.49578410387039185
83,The pullover donned the friend.,0.16,0.49578410387039185
84,The bum stole the necklace.,0.8106060606060609,0.5103246569633484
85,The necklace stole the bum.,0.0066666666666666706,0.5103246569633484
86,The soldier raised the banner.,0.971014492753623,0.5103246569633484
87,The banner raised the soldier.,0.0579710144927536,0.5103246569633484
88,The sightseer misplaced the memento.,0.916666666666667,0.49023959040641785
89,The memento misplaced the sightseer.,0.10869565217391301,0.49023959040641785
90,The marcher sang the anthem.,0.881944444444445,0.48546653985977173
91,The anthem sang the marcher.,0.0462962962962963,0.48546653985977173
92,The poker player won the game.,0.9924242424242421,0.48546653985977173
93,The game won the poker player.,0.0416666666666667,0.48546653985977173
94,The hatter decorated the bowler.,0.465277777777778,0.49578410387039185
95,The bowler decorated the hatter.,0.296296296296296,0.49578410387039185
96,The interviewee wrinkled the suit.,0.7777777777777779,0.49578410387039185
97,The suit wrinkled the interviewee.,0.0555555555555555,0.49578410387039185
98,The scientist discovered the cure.,0.9772727272727271,0.5103246569633484
99,The cure discovered the scientist.,0.0757575757575758,0.5103246569633484
100,The mogul governed the corporation.,0.813333333333333,0.5103246569633484
101,The corporation governed the mogul.,0.492424242424242,0.5103246569633484
102,The undertaker prepared the funeral.,0.9066666666666671,0.48546653985977173
103,The funeral prepared the undertaker.,0.11333333333333301,0.48546653985977173
104,The constable examined the property.,0.931818181818182,0.4866619408130646
105,The property examined the constable.,0.0,0.4866619408130646
106,The sightseer misplaced the memento.,0.916666666666667,0.48815271258354187
107,The memento misplaced the sightseer.,0.10869565217391301,0.48815271258354187
108,The tourist exited the bus.,0.983333333333333,0.5063617825508118
109,The bus exited the tourist.,0.0454545454545454,0.5063617825508118
110,The soldier raised the banner.,0.971014492753623,0.5063617825508118
111,The banner raised the soldier.,0.0579710144927536,0.5063617825508118
112,The tycoon ran the company.,0.8985507246376809,0.4866619408130646
113,The company ran the tycoon.,0.0972222222222222,0.4866619408130646
114,The cellist received the prize.,0.919753086419753,0.4866619408130646
115,The prize received the cellist.,0.0555555555555555,0.4866619408130646
116,The guide reached the target.,0.87962962962963,0.5063617825508118
117,The target reached the guide.,0.37878787878787895,0.5063617825508118
118,The writer completed the book.,0.9924242424242421,0.5063617825508118
119,The book completed the writer.,0.10869565217391301,0.5063617825508118
120,The operative blew the assignment.,0.916666666666667,0.5063617825508118
121,The assignment blew the operative.,0.185185185185185,0.5063617825508118
122,The convalescent took the pill.,0.7971014492753621,0.4921179711818695
123,The pill took the convalescent.,0.08,0.4921179711818695
124,The congressman delivered the speech.,1.0,0.5063617825508118
125,The speech delivered the congressman.,0.0227272727272727,0.5063617825508118
126,The journalist ditched the article.,0.856060606060606,0.4866619408130646
127,The article ditched the journalist.,0.11333333333333301,0.4866619408130646
128,The travel-agent photocopied the passport.,0.985507246376812,0.48815271258354187
129,The passport photocopied the travel-agent.,0.0072463768115942,0.48815271258354187
130,The townsperson farmed the grain.,0.7777777777777779,0.49435219168663025
131,The grain farmed the townsperson.,0.0454545454545454,0.49435219168663025
132,The scientist discovered the cure.,0.9772727272727271,0.5147066116333008
133,The cure discovered the scientist.,0.0757575757575758,0.5147066116333008
134,The campaigner biased the ballot.,0.48611111111111105,0.5147066116333008
135,The ballot biased the campaigner.,0.222222222222222,0.5147066116333008
136,The bookworm recited the poem.,0.8863636363636359,0.48523834347724915
137,The poem recited the bookworm.,0.0416666666666667,0.48523834347724915
138,The woman prepared the dinner.,0.9861111111111109,0.5147066116333008
139,The dinner prepared the woman.,0.0763888888888889,0.5147066116333008
140,The anchorman garbled the expression.,0.875,0.48523834347724915
141,The expression garbled the anchorman.,0.28030303030303,0.48523834347724915
142,The milliner adorned the fedora.,0.816666666666667,0.48523834347724915
143,The fedora adorned the milliner.,0.3666666666666671,0.48523834347724915
144,The servant wiped the sink.,0.9861111111111109,0.5147066116333008
145,The sink wiped the servant.,0.0606060606060606,0.5147066116333008
146,The carnivore ate the steak.,0.96,0.4859657287597656
147,The steak ate the carnivore.,0.0303030303030303,0.4859657287597656
148,The mortician arranged the burial.,0.96969696969697,0.4859657287597656
149,The burial arranged the mortician.,0.0652173913043478,0.4859657287597656
150,The dietitian loathed the jam.,0.833333333333333,0.49435219168663025
151,The jam loathed the dietitian.,0.00757575757575757,0.49435219168663025
152,The copycat redecorated the apartment.,0.787037037037037,0.500074028968811
153,The apartment redecorated the copycat.,0.0666666666666667,0.500074028968811
154,The prostitute squandered the cash.,0.9506172839506171,0.48523834347724915
155,The cash squandered the prostitute.,0.0486111111111111,0.48523834347724915
156,The bookkeeper created the graph.,0.927536231884058,0.4895903766155243
157,The graph created the bookkeeper.,0.0266666666666667,0.4895903766155243
158,The archaeologist canceled the trip.,0.962962962962963,0.4895903766155243
159,The trip canceled the archaeologist.,0.0681818181818182,0.4895903766155243
160,The stewardess pulled the suitcase.,0.9393939393939391,0.48943841457366943
161,The suitcase pulled the stewardess.,0.0694444444444445,0.48943841457366943
162,The bookworm recited the poem.,0.8863636363636359,0.48943841457366943
163,The poem recited the bookworm.,0.0416666666666667,0.48943841457366943
164,The overseer provided the alcohol.,0.686666666666667,0.4895903766155243
165,The alcohol provided the overseer.,0.0833333333333333,0.4895903766155243
166,The friend donned the pullover.,0.883333333333333,0.48943841457366943
167,The pullover donned the friend.,0.16,0.48943841457366943
168,The humorist verified the schedule.,0.731884057971015,0.4895903766155243
169,The schedule verified the humorist.,0.166666666666667,0.4895903766155243
170,The crackhead smoked the pipe.,0.9066666666666671,0.4895903766155243
171,The pipe smoked the crackhead.,0.0151515151515151,0.4895903766155243
172,The nutritionist detested the marmalade.,0.8636363636363641,0.48212841153144836
173,The marmalade detested the nutritionist.,0.18840579710144897,0.48212841153144836
174,The accountant made the chart.,1.0,0.5086775422096252
175,The chart made the accountant.,0.15,0.5086775422096252
176,The maid lifted the cushion.,0.9861111111111109,0.5086775422096252
177,The cushion lifted the maid.,0.15740740740740697,0.5086775422096252
178,The sightseer misplaced the memento.,0.916666666666667,0.48212841153144836
179,The memento misplaced the sightseer.,0.10869565217391301,0.48212841153144836
180,The schoolgirl borrowed the key.,0.962121212121212,0.4895903766155243
181,The key borrowed the schoolgirl.,0.0227272727272727,0.4895903766155243
182,The chef sauteed the squid.,0.841269841269841,0.4967536926269531
183,The squid sauteed the chef.,0.0,0.4967536926269531
184,The voter sealed the envelope.,0.94,0.5102601051330566
185,The envelope sealed the voter.,0.0486111111111111,0.5102601051330566
186,The minuteman loaded the gun.,0.895833333333333,0.4967536926269531
187,The gun loaded the minuteman.,0.0416666666666667,0.4967536926269531
188,The interviewee wrinkled the suit.,0.7777777777777779,0.4967536926269531
189,The suit wrinkled the interviewee.,0.0555555555555555,0.4967536926269531
190,The poker player won the game.,0.9924242424242421,0.48388367891311646
191,The game won the poker player.,0.0416666666666667,0.48388367891311646
192,The servant wiped the sink.,0.9861111111111109,0.5102601051330566
193,The sink wiped the servant.,0.0606060606060606,0.5102601051330566
194,The forger shipped the package.,0.8611111111111109,0.48388367891311646
195,The package shipped the forger.,0.0701754385964912,0.48388367891311646
196,The marcher sang the anthem.,0.881944444444445,0.48388367891311646
197,The anthem sang the marcher.,0.0462962962962963,0.48388367891311646
198,The convict dreaded the prison.,0.868055555555555,0.5102601051330566
199,The prison dreaded the convict.,0.553030303030303,0.5102601051330566
200,The bookkeeper created the graph.,0.927536231884058,0.48388367891311646
201,The graph created the bookkeeper.,0.0266666666666667,0.48388367891311646
202,The packrat concealed the stockpile.,0.74,0.48388367891311646
203,The stockpile concealed the packrat.,0.5158730158730159,0.48388367891311646
204,The exterminator filed the complaint.,0.9097222222222221,0.48388367891311646
205,The complaint filed the exterminator.,0.053030303030303,0.48388367891311646
206,The count inherited the painting.,0.6736111111111109,0.5102601051330566
207,The painting inherited the count.,0.0802469135802469,0.5102601051330566
208,The serviceman hoisted the flag.,0.946666666666667,0.49383777379989624
209,The flag hoisted the serviceman.,0.0454545454545454,0.49383777379989624
210,The marcher sang the anthem.,0.881944444444445,0.49055370688438416
211,The anthem sang the marcher.,0.0462962962962963,0.49055370688438416
212,The bellboy erased the message.,0.7777777777777779,0.49055370688438416
213,The message erased the bellboy.,0.11363636363636401,0.49055370688438416
214,The tycoon ran the company.,0.8985507246376809,0.49055370688438416
