ID	item	cosine_similarity(filler,prototype)
0	raider@N@NSUBJ catch@V@ROOT illness@N@OBJ	0.4302114026612407
1	illness@N@NSUBJ catch@V@ROOT raider@N@OBJ	0.29747192163260494
2	illness@N@NSUBJ catch@V@ROOT raider@N@OBL	0.4811830788446656
3	raider@N@NSUBJ catch@V@ROOT illness@N@OBL	0.40936898751548556
4	marauder@N@NSUBJ contract@V@ROOT disease@N@OBJ	0.43712063009761115
5	disease@N@NSUBJ contract@V@ROOT marauder@N@OBJ	0.2959243377968819
6	disease@N@NSUBJ contract@V@ROOT marauder@N@OBL	0.27917749344543097
7	marauder@N@NSUBJ contract@V@ROOT disease@N@OBL	0.5432106435256779
8	convict@N@NSUBJ dread@V@ROOT prison@N@OBJ	0.6239947746162976
9	prison@N@NSUBJ dread@V@ROOT convict@N@OBJ	0.3839580565577343
10	prison@N@NSUBJ dread@V@ROOT convict@N@OBL	0.35200985746003577
11	convict@N@NSUBJ dread@V@ROOT prison@N@OBL	0.5332673084438971
12	criminal@N@NSUBJ fear@V@ROOT jail@N@OBJ	0.6060986120483437
13	jail@N@NSUBJ fear@V@ROOT criminal@N@OBJ	0.5437709844057924
14	jail@N@NSUBJ fear@V@ROOT criminal@N@OBL	0.39903060407453117
15	criminal@N@NSUBJ fear@V@ROOT jail@N@OBL	0.54916201491828
16	prostitute@N@NSUBJ squander@V@ROOT cash@N@OBJ	0.5973685939307009
17	cash@N@NSUBJ squander@V@ROOT prostitute@N@OBJ	0.41769807698520833
18	cash@N@NSUBJ squander@V@ROOT prostitute@N@OBL	0.42707061463141915
19	prostitute@N@NSUBJ squander@V@ROOT cash@N@OBL	0.5150613155810466
20	girl@N@NSUBJ waste@V@ROOT money@N@OBJ	0.7011164513034575
21	money@N@NSUBJ waste@V@ROOT girl@N@OBJ	0.5410176641602075
22	money@N@NSUBJ waste@V@ROOT girl@N@OBL	0.44182711001857977
23	girl@N@NSUBJ waste@V@ROOT money@N@OBL	0.5550965605372159
24	adventurer@N@NSUBJ request@V@ROOT beverage@N@OBJ	0.45824951541769154
25	beverage@N@NSUBJ request@V@ROOT adventurer@N@OBJ	0.4378824089983966
26	beverage@N@NSUBJ request@V@ROOT adventurer@N@OBL	0.42533770946541827
27	adventurer@N@NSUBJ request@V@ROOT beverage@N@OBL	0.5141978032673927
28	undertaker@N@NSUBJ prepare@V@ROOT funeral@N@OBJ	0.45540780343882603
29	funeral@N@NSUBJ prepare@V@ROOT undertaker@N@OBJ	0.3427914340885765
30	funeral@N@NSUBJ prepare@V@ROOT undertaker@N@OBL	0.5070343953728699
31	undertaker@N@NSUBJ prepare@V@ROOT funeral@N@OBL	0.4242671693635436
32	mortician@N@NSUBJ arrange@V@ROOT burial@N@OBJ	0.4282630982212512
33	burial@N@NSUBJ arrange@V@ROOT mortician@N@OBJ	0.5373579581901293
