Sentence,Typicality,Rating,Item
The actor won the battle.,AT,2.6,1
The actor won the award.,T,5.8,1
The anchorman told the parable.,AT,3,2
The anchorman told the news.,T,6.75,2
The animal found the map.,AT,2,3
The animal found the food.,T,5.85,3
The ant stacked the suitcase.,AT,1.95,4
The ant stacked the supply.,T,4.4,4
The archeologist examined the dog.,AT,1.6,5
The archeologist examined the epigraph.,T,5.5,5
The archer released the interview.,AT,2.5,6
The archer released the arrow.,T,6.6,6
The artist assembled the tent.,AT,2,7
The artist assembled the art.,T,6.35,7
The artist hung the motorcycle.,AT,1.95,8
The artist hung the picture.,T,5.5,8
The assistant helped the soldier.,AT,2.8,9
The assistant helped the cook.,T,5.25,9
The astronaut reached the baker.,AT,2.35,10
The astronaut reached the moon.,T,5.4,10
The astronaut touched the guitar.,AT,2,11
The astronaut touched the ground.,T,4.8,11
The athlete celebrated the marriage.,AT,3.1,12
The athlete celebrated the victory.,T,6.65,12
The athlete started the vacuum.,AT,3.45,13
The athlete started the match.,T,4.15,13
The athlete won the toy.,AT,3.15,14
The athlete won the cup.,T,5.15,14
The author signed the check.,AT,3.4,15
The author signed the book.,T,6.15,15
The baker gathered the soldier.,AT,1,16
The baker gathered the bread.,T,6.3,16
The baker sold the stroller.,AT,2.05,17
The baker sold the bread.,T,6.45,17
The bank assigned the book.,AT,2.1,18
The bank assigned the code.,T,6.15,18
The barber cut the cake.,AT,2.1,19
The barber cut the hair.,T,6.65,19
The barber used the microscope.,AT,1.2,20
The barber used the razor.,T,6.55,20
The bartender handed the lancet.,AT,1.4,21
The bartender handed the drink.,T,6.55,21
The bartender shook the flag.,AT,2.05,22
The bartender shook the drink.,T,6.25,22
The beautician spread the paint.,AT,2.9,23
The beautician spread the cream.,T,5.2,23
The biker started the lesson.,AT,3.4,24
The biker started the motorcycle.,T,6.15,24
The biker wore the swimsuit.,AT,2.1,25
The biker wore the helmet.,T,6.8,25
The billionaire donated the book.,AT,4.15,26
The billionaire donated the money.,T,6.2,26
The binman collected the flower.,AT,3.05,27
The binman collected the trash.,T,5.35,27
The biologist used the razor.,AT,3.3,28
The biologist used the microscope.,T,6.7,28
The blacksmith poured the wine.,AT,1.6,29
The blacksmith poured the metal.,T,6.5,29
The bodybuilder lifted the flag.,AT,3.1,30
The bodybuilder lifted the weight.,T,6.45,30
The boss assigned the medal.,AT,3,31
The boss assigned the job.,T,6.75,31
The boss promised the heaven.,AT,2.25,32
The boss promised the promotion.,T,5.95,32
The botanist examined the tire.,AT,3,33
The botanist examined the plant.,T,6.55,33
The boxer delivered the drink.,AT,2.2,34
The boxer delivered the punch.,T,6.15,34
The breeder sold the cigarette.,AT,1.9,35
The breeder sold the dog.,T,6.25,35
The burglar climbed the rock.,AT,2.75,36
The burglar climbed the wall.,T,6.05,36
The businessman read the fable.,AT,2.35,37
The businessman read the report.,T,6.45,37
The businessman tied the prisoner.,AT,1.45,38
The businessman tied the necktie.,T,6.5,38
The businessman wore the uniform.,AT,4.15,39
The businessman wore the tie.,T,6.55,39
The butcher carved the stone.,AT,2.3,40
The butcher carved the meat.,T,5.75,40
The butcher cut the tree.,AT,1.8,41
The butcher cut the meat.,T,6.75,41
The butcher sold the weapon.,AT,1.6,42
The butcher sold the meat.,T,6.95,42
The butcher used the camera.,AT,2.05,43
The butcher used the knife.,T,6.35,43
The cameraman recorded the sale.,AT,2.45,44
The cameraman recorded the video.,T,6.85,44
The candidate celebrated the holiday.,AT,5,45
The candidate celebrated the victory.,T,5.9,45
The carpenter fixed the shoe.,AT,1.2,46
The carpenter fixed the chair.,T,5.55,46
The carpenter flipped the hair.,AT,3.1,47
The carpenter flipped the board.,T,6.35,47
The carpenter grabbed the ball.,AT,1.25,48
The carpenter grabbed the board.,T,5.85,48
The carver built the house.,AT,2.9,49
The carver built the sculpture.,T,6.05,49
The cat chased the kite.,AT,3.9,50
The cat chased the bird.,T,5.85,50
The cat drank the coffee.,AT,1.45,51
The cat drank the milk.,T,5.6,51
The champion held the guitar.,AT,2.95,52
The champion held the cup.,T,6.4,52
The chauffeur carried the rifle.,AT,2.1,53
The chauffeur carried the passenger.,T,6.65,53
The cheerleader carried the rifle.,AT,2.2,54
The cheerleader carried the flag.,T,5.2,54
The cheerleader performed the spell.,AT,1.65,55
The cheerleader performed the dance.,T,5.75,55
The cheerleader shook the drink.,AT,2.75,56
The cheerleader shook the flag.,T,5.15,56
The chemist mixed the music.,AT,1.35,57
The chemist mixed the substance.,T,6.85,57
The chemist poured the juice.,AT,2.75,58
The chemist poured the compound.,T,6.25,58
The chemist sold the dog.,AT,1.9,59
The chemist sold the drug.,T,4.45,59
The child ate the bone.,AT,2.85,60
The child ate the candy.,T,6.35,60
The child built the sculpture.,AT,3.95,61
The child built the snowman.,T,6.15,61
The child celebrated the victory.,AT,5.05,62
The child celebrated the birthday.,T,6.45,62
The child chased the thief.,AT,2.05,63
The child chased the toy.,T,6.1,63
The child climbed the mountain.,AT,3.2,64
The child climbed the tree.,T,5.2,64
The child crossed the river.,AT,3.5,65
The child crossed the park.,T,5.55,65
The child cut the tree.,AT,1.75,66
The child cut the paper.,T,5.35,66
The child drank the beer.,AT,2,67
The child drank the coke.,T,4.65,67
The child drew the horse.,AT,5.65,68
The child drew the flower.,T,4.95,68
The child enjoyed the lecture.,AT,2.85,69
The child enjoyed the ride.,T,6.7,69
The child found the corpse.,AT,1.45,70
The child found the doll.,T,5.65,70
The child grabbed the tyre.,AT,2.3,71
The child grabbed the frisbee.,T,4.95,71
The child lent the car.,AT,1.45,72
The child lent the pen.,T,4.45,72
The child opened the congress.,AT,1.5,73
The child opened the present.,T,6.7,73
The child picked the investment.,AT,1.65,74
The child picked the flower.,T,5.4,74
The child rode the bull.,AT,2,75
The child rode the bus.,T,5.3,75
The child threw the bottle.,AT,4.2,76
The child threw the ball.,T,6.35,76
The child threw the spear.,AT,1.6,77
The child threw the snowball.,T,5.95,77
The child told the verdict.,AT,2.05,78
The child told the lie.,T,5.95,78
The child visited the president.,AT,3.05,79
The child visited the grandmother.,T,5.95,79
The child visited the prisoner.,AT,2,80
The child visited the zoo.,T,6.3,80
The child wrote the diagnosis.,AT,1.05,81
The child wrote the conjugation.,T,3.95,81
The climber climbed the staircase.,AT,5.6,82
The climber climbed the rock.,T,6.8,82
The climber faced the ocean.,AT,2.35,83
The climber faced the wall.,T,5.5,83
The climber used the blackboard.,AT,1.8,84
The climber used the rope.,T,6.85,84
The coach checked the car.,AT,2.45,85
The coach checked the team.,T,6.95,85
The cobbler fixed the phone.,AT,1.55,86
The cobbler fixed the shoe.,T,6.25,86
The cobbler sewed the parachute.,AT,1.6,87
The cobbler sewed the shoe.,T,6.6,87
The collector donated the blood.,AT,3.4,88
The collector donated the painting.,T,3.7,88
The comedian entertained the soldier.,AT,4.3,89
The comedian entertained the audience.,T,6.35,89
The confectioner decorated the tree.,AT,2.9,90
The confectioner decorated the cake.,T,6.05,90
The confectioner spread the cement.,AT,1.2,91
The confectioner spread the icing.,T,6.35,91
The cook bought the ticket.,AT,3,92
The cook bought the food.,T,5.1,92
The cook checked the tire.,AT,1.9,93
The cook checked the groceries.,T,6.2,93
The cook cleaned the window.,AT,2.3,94
The cook cleaned the fish.,T,6.1,94
The cook cut the grass.,AT,3.35,95
