0,The adventurer was requested by the beverage.,The crackhead was smoked by the pipe.,The supervisor was supplied by the liquor.,The paper edited the advisor.,The teacher was bought by the laptop.,The necklace stole the bum.,The teacher was bought by the laptop.,The light bulb changed the groundskeeper.,The bum was stolen by the necklace.,The paper edited the advisor.,The souvenir lost the traveler.,The giraffe fed the zookeeper.,The zookeeper was fed by the giraffe.,The plant watered the house sitter.,The woodworker was skimmed by the brochure.,The passport photocopied the travel-agent.,The school closed the doctor.,The supervisor was supplied by the liquor.,The ornament hung the uncle.,The marcher was sung by the anthem.,The newborn adopted the roommate.,The cook was grilled by the octopus.,The meat-eater was devoured by the filet.,The instructor was purchased by the computer.,The filet devoured the meat-eater.,The serviceman was hoisted by the flag.,The minuteman was loaded by the gun.,The archaeologist was canceled by the trip.,The woodworker was skimmed by the brochure.,The instructor was purchased by the computer.,The voter was sealed by the envelope.,The plant watered the house sitter.,The archaeologist was canceled by the trip.,The sugar sprinkled the confectioner.,The squid sauteed the chef.,The author was finished by the novel.,The cook was grilled by the octopus.,The marcher was sung by the anthem.,The property examined the constable.,The overseer was provided by the alcohol.,The door unlocked the deckhand.,The ornament hung the uncle.,The archaeologist was canceled by the trip.,The paper edited the advisor.,The winemaker was uncorked by the bottle.,The adventurer was requested by the beverage.,The overseer was provided by the alcohol.,The woodworker was skimmed by the brochure.,The school closed the doctor.,The sugar sprinkled the confectioner.
1,The password memorized the hacker.,The vote prejudiced the activist.,The steak ate the carnivore.,The celebrity was signed by the photograph.,The photograph signed the celebrity.,The burial arranged the mortician.,The call girl was wasted by the money.,The suit wrinkled the interviewee.,The money wasted the call girl.,The medicine swallowed the patient.,The order placed the tanner.,The squid sauteed the chef.,The first lady petrified the terrorist.,The tanner was placed by the order.,The terrorist was petrified by the first lady.,The traveler was lost by the souvenir.,The infant pampered the father.,The squid sauteed the chef.,The father was pampered by the infant.,The word mispronounced the announcer.,The guard was apprehended by the prisoner.,The form initialed the guarantor.,The prisoner apprehended the guard.,The photograph signed the celebrity.,The celebrity was signed by the photograph.,The writer was completed by the book.,The terrorist was petrified by the first lady.,The book completed the writer.,The widower treated the urologist.,The first lady petrified the terrorist.,The headmaster was reprimanded by the kid.,The fund established the supremacist.,The infant pampered the father.,The vote prejudiced the activist.,The father was pampered by the infant.,The elderly person charged the clerk.,The apprentice trained the artisan.,The artisan was trained by the apprentice.,The gun loaded the minuteman.,The minuteman was loaded by the gun.,The shark was mauled by the snorkeler.,The owner was evicted by the tenant.,The lady was cooked by the supper.,The bus exited the tourist.,The supper cooked the lady.,The sociopath expelled the assistant principal.,The jam loathed the dietitian.,The paparazzi was stalked by the pop star.,The pop star stalked the paparazzi.,The dietitian was loathed by the jam.
2,The reporter was abandoned by the story.,The townsperson was farmed by the grain.,The grain farmed the townsperson.,The winemaker was uncorked by the bottle.,The bottle uncorked the winemaker.,The itinerary confirmed the comedian.,The winemaker was uncorked by the bottle.,The photograph signed the celebrity.,The bottle uncorked the winemaker.,The celebrity was signed by the photograph.,The grain farmed the townsperson.,The attendant was pressed by the button.,The flag hoisted the serviceman.,The serviceman was hoisted by the flag.,The button pressed the attendant.,The artisan was trained by the apprentice.,The flag hoisted the serviceman.,The serviceman was hoisted by the flag.,The urologist was treated by the widower.,The widower treated the urologist.,The money wasted the call girl.,The celebrity was signed by the photograph.,The photograph signed the celebrity.,The call girl was wasted by the money.,The jam loathed the dietitian.,The archaeologist was canceled by the trip.,The cadet supervised the colonel.,The doctor was closed by the school.,The sociopath expelled the assistant principal.,The assistant principal was expelled by the sociopath.,The contract burned the charlatan.,The hooligan was wrecked by the vehicle.,The financier was sponsored by the project.,The faucet repaired the handyman.,The handyman was repaired by the faucet.,The advisor was edited by the paper.,The priest revered the vagabond.,The supper cooked the lady.,The lady was cooked by the supper.,The paper edited the advisor.,The reporter was abandoned by the story.,The channeler was sensed by the ghost.,The subject recruited the experimenter.,The paper edited the advisor.,The advisor was edited by the paper.,The serviceman was hoisted by the flag.,The diplomat drove the chauffeur.,The bottle uncorked the winemaker.,The sociopath expelled the assistant principal.,The winemaker was uncorked by the bottle.
3,The miscreant was kidnapped by the beneficiary.,The chiropractor thanked the tennis player.,The concert attended the groupie.,The groupie was attended by the concert.,The tennis player was thanked by the chiropractor.,The channeler was sensed by the ghost.,The appointment rescheduled the manicurist.,The money wasted the call girl.,The computer purchased the instructor.,The call girl was wasted by the money.,The roommate was adopted by the newborn.,The artisan was trained by the apprentice.,The call girl was wasted by the money.,The apprentice trained the artisan.,The money wasted the call girl.,The owner was evicted by the tenant.,The tenant evicted the owner.,The memento misplaced the sightseer.,The apprentice trained the artisan.,The artisan was trained by the apprentice.,The patient swallowed the medicine.,The celebrity was signed by the photograph.,The photograph signed the celebrity.,The patient was swallowed by the medicine.,The medicine swallowed the patient.,The bottle uncorked the winemaker.,The artisan was trained by the apprentice.,The apprentice trained the artisan.,The poker player was won by the game.,The winemaker was uncorked by the bottle.,The celebrity signed the photograph.,The call girl was wasted by the money.,The money wasted the call girl.,The photograph signed the celebrity.,The celebrity was signed by the photograph.,The professional was supported by the beginner.,The suit wrinkled the interviewee.,The priest revered the vagabond.,The vagabond revered the priest.,The vagabond was revered by the priest.,The sociopath expelled the assistant principal.,The girl spanked the au pair.,The priest revered the vagabond.,The vagabond revered the priest.,The vagabond was revered by the priest.,The luggage dragged the flight-attendant.,The girl spanked the au pair.,The interviewee was wrinkled by the suit.,The suit wrinkled the interviewee.,The roommate was adopted by the newborn.
4,The cashier was billed by the senior citizen.,The winemaker was uncorked by the bottle.,The noble obeyed the page.,The bottle uncorked the winemaker.,The senior citizen billed the cashier.,The patient swallowed the medicine.,The passport photocopied the travel-agent.,The flag hoisted the serviceman.,The medicine swallowed the patient.,The patient was swallowed by the medicine.,The travel-agent was photocopied by the passport.,The jury was acquitted by the economist.,The passport photocopied the travel-agent.,The packrat concealed the stockpile.,The stockpile concealed the packrat.,The vehicle wrecked the hooligan.,The memento misplaced the sightseer.,The sightseer was misplaced by the memento.,The giraffe fed the zookeeper.,The artisan was trained by the apprentice.,The jam loathed the dietitian.,The bottle uncorked the winemaker.,The winemaker was uncorked by the bottle.,The company ran the tycoon.,The fairy was enchanted by the troll.,The critic attacked the conservative.,The speech delivered the congressman.,The potter was molded by the clay.,The winemaker was uncorked by the bottle.,The bottle uncorked the winemaker.,The memento misplaced the sightseer.,The channeler was sensed by the ghost.,The sightseer was misplaced by the memento.,The speech delivered the congressman.,The faucet repaired the handyman.,The baguette sliced the Frenchman.,The celebrity was signed by the photograph.,The medicine swallowed the patient.,The potter was molded by the clay.,The patient was swallowed by the medicine.,The banner raised the soldier.,The painting inherited the count.,The potter was molded by the clay.,The apartment redecorated the copycat.,The copycat was redecorated by the apartment.,The wire bent the ditch digger.,The ditch digger was bent by the wire.,The expression garbled the anchorman.,The elderly person charged the clerk.,The light bulb changed the groundskeeper.
5,The channeler was sensed by the ghost.,The deer trapped the huntsman.,The cash squandered the prostitute.,The bus exited the tourist.,The prostitute was squandered by the cash.,The sightseer was misplaced by the memento.,The packrat concealed the stockpile.,The winemaker was uncorked by the bottle.,The bottle was uncorked by the winemaker.,The bottle uncorked the winemaker.,The jet maneuvered the aviator.,The supper cooked the lady.,The company ran the tycoon.,The apartment redecorated the copycat.,The hedonist reproached the nun.,The diver was recharged by the battery.,The copycat was redecorated by the apartment.,The sightseer was misplaced by the memento.,The memento misplaced the sightseer.,The apartment redecorated the copycat.,The lord was named by the heir.,The squid sauteed the chef.,The graph created the bookkeeper.,The bottle uncorked the winemaker.,The apartment redecorated the copycat.,The concert attended the groupie.,The diver was recharged by the battery.,The desk organized the secretary.,The groupie was attended by the concert.,The secretary was organized by the desk.,The economist acquitted the jury.,The relative was surprised by the prodigy.,The giraffe fed the zookeeper.,The prodigy surprised the relative.,The infant pampered the father.,The guarantor was initialed by the form.,The troll enchanted the fairy.,The fairy was enchanted by the troll.,The fairy enchanted the troll.,The squid sauteed the chef.,The medicine swallowed the patient.,The constable was examined by the property.,The property examined the constable.,The lord was named by the heir.,The bottle uncorked the winemaker.,The liar was emulated by the victor.,The stockpile concealed the packrat.,The company ran the tycoon.,The graph created the bookkeeper.,The packrat concealed the stockpile.
6,The appointment rescheduled the manicurist.,The plant watered the house sitter.,The clay molded the potter.,The house sitter was watered by the plant.,The potter was molded by the clay.,The humorist was verified by the schedule.,The prize received the cellist.,The banner raised the soldier.,The cellist was received by the prize.,The potter was molded by the clay.,The squid sauteed the chef.,The constable was examined by the property.,The shuttle was left by the vacationer.,The property examined the constable.,The shuttle left the vacationer.,The boy tutored the nanny.,The social worker was comforted by the abused woman.,The nanny was tutored by the boy.,The steak ate the carnivore.,The abused woman comforted the social worker.,The tour-guide chased the lion.,The fairy was enchanted by the troll.,The chef was sauteed by the squid.,The graph created the bookkeeper.,The squid sauteed the chef.,The vehicle wrecked the hooligan.,The word mispronounced the announcer.,The manicurist was rescheduled by the appointment.,The traitor pardoned the president.,The appointment rescheduled the manicurist.,The project sponsored the financier.,The imitator was fooled by the investigator.,The bottle uncorked the winemaker.,The bottle was uncorked by the winemaker.,The winemaker was uncorked by the bottle.,The rookie encouraged the master.,The clay molded the potter.,The traitor pardoned the president.,The potter molded the clay.,The potter was molded by the clay.,The scientist was discovered by the cure.,The steak ate the carnivore.,The form initialed the guarantor.,The guarantor was initialed by the form.,The bellboy was erased by the message.,The secretary was organized by the desk.,The complaint filed the exterminator.,The prize received the cellist.,The exterminator was filed by the complaint.,The bus exited the tourist.
7,The offer accepted the sociologist.,The headmaster was reprimanded by the kid.,The kid reprimanded the headmaster.,The sociologist was accepted by the offer.,The potter was molded by the clay.,The cash squandered the prostitute.,The appointment rescheduled the manicurist.,The prostitute was squandered by the cash.,The filet devoured the meat-eater.,The meat-eater was devoured by the filet.,The speaker engrossed the audience.,The subject recruited the experimenter.,The audience was engrossed by the speaker.,The speaker was engrossed by the audience.,The audience engrossed the speaker.,The actress cast the producer.,The celebrity was signed by the photograph.,The appointment rescheduled the manicurist.,The bus exited the tourist.,The producer was cast by the actress.,The groundskeeper was changed by the light bulb.,The financier was sponsored by the project.,The light bulb changed the groundskeeper.,The banner raised the soldier.,The project sponsored the financier.,The ballot biased the campaigner.,The groundskeeper was changed by the light bulb.,The light bulb changed the groundskeeper.,The ballot was biased by the campaigner.,The bus exited the tourist.,The appointment rescheduled the manicurist.,The speaker was engrossed by the audience.,The shirt ironed the seamstress.,The audience engrossed the speaker.,The prodigy surprised the relative.,The undertaker was prepared by the funeral.,The steak ate the carnivore.,The father was pampered by the infant.,The trip canceled the archaeologist.,The infant pampered the father.,The word mispronounced the announcer.,The sugar sprinkled the confectioner.,The groundskeeper was changed by the light bulb.,The light bulb changed the groundskeeper.,The banner raised the soldier.,The producer was cast by the actress.,The president was pardoned by the traitor.,The stockpile concealed the packrat.,The audience engrossed the speaker.,The traitor pardoned the president.
8,The traitor was pardoned by the president.,The infant pampered the father.,The president was pardoned by the traitor.,The traitor pardoned the president.,The president pardoned the traitor.,The fairy enchanted the troll.,The guarantor was initialed by the form.,The troll enchanted the fairy.,The fairy was enchanted by the troll.,The dietitian was loathed by the jam.,The zookeeper was fed by the giraffe.,The trip canceled the archaeologist.,The handyman was repaired by the faucet.,The giraffe fed the zookeeper.,The faucet repaired the handyman.,The toddler disciplined the mother.,The announcer was mispronounced by the word.,The word mispronounced the announcer.,The hedonist reproached the nun.,The audience engrossed the speaker.,The travel-agent was photocopied by the passport.,The seamstress was ironed by the shirt.,The passport photocopied the travel-agent.,The potter was molded by the clay.,The youngster resuscitated the EMT.,The advisor edited the paper.,The infant pampered the father.,The meat-eater was devoured by the filet.,The advisor was edited by the paper.,The paper edited the advisor.,The bellboy was erased by the message.,The guarantor was initialed by the form.,The form initialed the guarantor.,The linebacker relaxed the masseuse.,The masseuse was relaxed by the linebacker.,The seamstress was ironed by the shirt.,The manicurist was rescheduled by the appointment.,The appointment rescheduled the manicurist.,The appointment was rescheduled by the manicurist.,The groupie was attended by the concert.,The seamstress was ironed by the shirt.,The masseuse was relaxed by the linebacker.,The linebacker relaxed the masseuse.,The banner raised the soldier.,The traitor pardoned the president.,The manicurist was rescheduled by the appointment.,The bottle uncorked the winemaker.,The patient was swallowed by the medicine.,The medicine swallowed the patient.,The appointment rescheduled the manicurist.
9,The lion was chased by the tour-guide.,The banner raised the soldier.,The audience engrossed the speaker.,The unicyclist sketched the cartoonist.,The cartoonist was sketched by the unicyclist.,The packrat concealed the stockpile.,The stockpile concealed the packrat.,The nun reproached the hedonist.,The hedonist reproached the nun.,The stockpile was concealed by the packrat.,The artisan was trained by the apprentice.,The house sitter was watered by the plant.,The prodigy surprised the relative.,The dietitian was loathed by the jam.,The nutritionist was detested by the marmalade.,The lion was chased by the tour-guide.,The traitor was pardoned by the president.,The president pardoned the traitor.,The president was pardoned by the traitor.,The traitor pardoned the president.,The prostitute was squandered by the cash.,The archaeologist was canceled by the trip.,The school closed the doctor.,The trip canceled the archaeologist.,The banner raised the soldier.,The giraffe fed the zookeeper.,The toddler disciplined the mother.,The economist acquitted the jury.,The mother was disciplined by the toddler.,The lion was chased by the tour-guide.,The advisor was edited by the paper.,The filet devoured the meat-eater.,The banner raised the soldier.,The pilot was steered by the airplane.,The game won the poker player.,The masseuse relaxed the linebacker.,The linebacker was relaxed by the masseuse.,The economist acquitted the jury.,The masseuse was relaxed by the linebacker.,The linebacker relaxed the masseuse.,The actress cast the producer.,The baguette sliced the Frenchman.,The mother was disciplined by the toddler.,The youngster resuscitated the EMT.,The producer was cast by the actress.,The crackhead was smoked by the pipe.,The cashier was billed by the senior citizen.,The senior citizen billed the cashier.,The shirt ironed the seamstress.,The seamstress was ironed by the shirt.
