,Sentence,YTest,YPred
0,The jet was maneuvered by the aviator.,0.9924242424242421,0.5968237519264221
1,The aviator was maneuvered by the jet.,0.072463768115942,0.5968237519264221
2,The pullover was donned by the friend.,0.8636363636363641,0.5968237519264221
3,The friend was donned by the pullover.,0.143939393939394,0.5968237519264221
4,The sugar was sprinkled by the confectioner.,0.895833333333333,0.5968237519264221
5,The confectioner was sprinkled by the sugar.,0.107843137254902,0.5968237519264221
6,The fedora was adorned by the milliner.,0.734848484848485,0.5968237519264221
7,The milliner was adorned by the fedora.,0.31060606060606105,0.5968237519264221
8,The plagiarist was admonished by the librarian.,0.825,0.6366302967071533
9,The librarian was admonished by the plagiarist.,0.5,0.6366302967071533
10,The painting was inherited by the count.,0.7222222222222221,0.5762178301811218
11,The count was inherited by the painting.,0.128787878787879,0.5762178301811218
12,The conqueror was imitated by the deceiver.,0.674242424242424,0.6366302967071533
13,The deceiver was imitated by the conqueror.,0.5606060606060611,0.6366302967071533
14,The winner was congratulated by the panelist.,0.962121212121212,0.5718870162963867
15,The panelist was congratulated by the winner.,0.477272727272727,0.5718870162963867
16,The bureaucrat was bribed by the smuggler.,0.927536231884058,0.6366302967071533
17,The smuggler was bribed by the bureaucrat.,0.7173913043478259,0.6366302967071533
18,The apprentice was trained by the artisan.,0.926666666666667,0.5762178301811218
19,The artisan was trained by the apprentice.,0.24242424242424201,0.5762178301811218
20,The school was closed by the doctor.,0.46,0.5762178301811218
21,The doctor was closed by the school.,0.0303030303030303,0.5762178301811218
22,The crop was cultivated by the villager.,0.9861111111111109,0.5718870162963867
23,The villager was cultivated by the crop.,0.0648148148148148,0.5718870162963867
24,The rebel was exiled by the king.,0.8095238095238091,0.5762178301811218
25,The king was exiled by the rebel.,0.43939393939393895,0.5762178301811218
26,The boy was tutored by the nanny.,0.9772727272727271,0.5968237519264221
27,The nanny was tutored by the boy.,0.28030303030303,0.5968237519264221
28,The beverage was requested by the adventurer.,0.856060606060606,0.5762178301811218
29,The adventurer was requested by the beverage.,0.0277777777777778,0.5762178301811218
30,The program was funded by the banker.,0.9382716049382719,0.5762178301811218
31,The banker was funded by the program.,0.5416666666666671,0.5762178301811218
32,The brochure was skimmed by the woodworker.,0.6893939393939389,0.6366302967071533
33,The woodworker was skimmed by the brochure.,0.0,0.6366302967071533
34,The disease was contracted by the marauder.,0.8125,0.5718870162963867
35,The marauder was contracted by the disease.,0.136363636363636,0.5718870162963867
36,The recluse was taunted by the windbag.,0.514492753623188,0.6366302967071533
37,The windbag was taunted by the recluse.,0.4733333333333329,0.6366302967071533
38,The password was memorized by the hacker.,0.9492753623188409,0.5718870162963867
39,The hacker was memorized by the password.,0.246376811594203,0.5718870162963867
40,The offender was handcuffed by the policewoman.,0.993055555555555,0.5968237519264221
41,The policewoman was handcuffed by the offender.,0.196969696969697,0.5968237519264221
42,The suitcase was pulled by the stewardess.,0.944444444444445,0.5968237519264221
43,The stewardess was pulled by the suitcase.,0.18666666666666698,0.5968237519264221
44,The luggage was dragged by the flight-attendant.,0.9772727272727271,0.6366302967071533
45,The flight-attendant was dragged by the luggage.,0.148148148148148,0.6366302967071533
46,The child was scolded by the principal.,0.946969696969697,0.5718870162963867
47,The principal was scolded by the child.,0.33333333333333304,0.5718870162963867
48,The alcohol was provided by the overseer.,0.7826086956521741,0.5718870162963867
49,The overseer was provided by the alcohol.,0.0217391304347826,0.5718870162963867
50,The snorkeler was mauled by the shark.,0.9393939393939391,0.8292484283447266
51,The shark was mauled by the snorkeler.,0.106060606060606,0.938927173614502
52,The visitor was bothered by the drunk.,0.8888888888888891,0.5409274101257324
53,The drunk was bothered by the visitor.,0.681818181818182,0.5576844215393066
54,The chiropractor was thanked by the tennis player.,0.946969696969697,0.16835832595825195
55,The tennis player was thanked by the chiropractor.,0.543478260869565,0.14718151092529297
56,The bystander was interrogated by the attorney.,0.8518518518518521,0.5271759033203125
57,The attorney was interrogated by the bystander.,0.557971014492754,0.70705246925354
58,The memento was misplaced by the sightseer.,0.8405797101449279,0.6365723609924316
59,The sightseer was misplaced by the memento.,0.0866666666666667,0.6360063552856445
60,The pop star was stalked by the paparazzi.,0.96,0.9778444766998291
61,The paparazzi was stalked by the pop star.,0.33333333333333304,0.9942474365234375
62,The sociopath was expelled by the assistant principal.,0.891304347826087,0.6221802234649658
63,The assistant principal was expelled by the sociopath.,0.25925925925925897,0.5674657821655273
64,The gold medalist was praised by the judge.,0.962121212121212,0.9078893661499023
65,The judge was praised by the gold medalist.,0.770833333333333,1.1270089149475098
66,The battery was recharged by the diver.,0.841666666666667,0.405994176864624
67,The diver was recharged by the battery.,0.0606060606060606,0.33397674560546875
68,The orphan was quieted by the caretaker.,0.94,0.6406145095825195
69,The caretaker was quieted by the orphan.,0.42,0.48186349868774414
70,The jam was loathed by the dietitian.,0.833333333333333,0.9268488883972168
71,The dietitian was loathed by the jam.,0.12,0.8498172760009766
72,The traitor was pardoned by the president.,0.818840579710145,0.8228826522827148
73,The president was pardoned by the traitor.,0.06,0.8139886856079102
74,The witness was questioned by the lawyer.,0.9772727272727271,0.6126754283905029
75,The lawyer was questioned by the witness.,0.446969696969697,0.5903711318969727
76,The senior citizen was billed by the cashier.,0.9,0.4301586151123047
77,The cashier was billed by the senior citizen.,0.305555555555556,0.4306526184082031
78,The newborn was adopted by the roommate.,0.6975308641975311,0.4360795021057129
79,The roommate was adopted by the newborn.,0.11805555555555601,0.39361000061035156
80,The itinerary was confirmed by the comedian.,0.806666666666667,0.5601215362548828
81,The comedian was confirmed by the itinerary.,0.4466666666666671,0.737309455871582
82,The rebel was exiled by the king.,0.8095238095238091,0.8032941818237305
83,The king was exiled by the rebel.,0.43939393939393895,0.7544326782226562
84,The victory was guaranteed by the skipper.,0.76,0.669365644454956
85,The skipper was guaranteed by the victory.,0.214285714285714,0.48485755920410156
86,The thinker was depicted by the painter.,0.936507936507936,0.5069680213928223
87,The painter was depicted by the thinker.,0.277777777777778,0.562666654586792
88,The captive was saved by the negotiator.,0.916666666666667,0.7970066070556641
89,The negotiator was saved by the captive.,0.446969696969697,0.7914681434631348
90,The heir was named by the lord.,0.86,0.8473300933837891
91,The lord was named by the heir.,0.4466666666666671,0.8843159675598145
92,The ornament was hung by the uncle.,0.893333333333333,0.7015786170959473
93,The uncle was hung by the ornament.,0.04,0.6901557445526123
94,The disease was contracted by the marauder.,0.8125,0.5710265636444092
95,The marauder was contracted by the disease.,0.136363636363636,0.41358065605163574
96,The baguette was sliced by the Frenchman.,0.993055555555555,0.6019725799560547
97,The Frenchman was sliced by the baguette.,0.0606060606060606,0.517266035079956
98,The estate was inspected by the sheriff.,0.926666666666667,0.8595485687255859
99,The sheriff was inspected by the estate.,0.206349206349206,0.8112473487854004
100,The cousin was shocked by the genius.,0.9015151515151508,0.52834153175354
101,The genius was shocked by the cousin.,0.673913043478261,0.5651278495788574
102,The quack was discredited by the cardiologist.,0.76984126984127,1.2391388416290283
103,The cardiologist was discredited by the quack.,0.272727272727273,0.7729722261428833
104,The anthem was sung by the marcher.,0.7727272727272729,0.7097257375717163
105,The marcher was sung by the anthem.,0.0,0.3059399127960205
106,The victor was emulated by the liar.,0.6388888888888891,0.6332458257675171
107,The liar was emulated by the victor.,0.5,0.7848856449127197
108,The plagiarist was admonished by the librarian.,0.825,0.8466124534606934
109,The librarian was admonished by the plagiarist.,0.5,0.8608043789863586
110,The actress was cast by the producer.,0.96969696969697,1.0912604331970215
111,The producer was cast by the actress.,0.123188405797101,1.2629516124725342
112,The subject was recruited by the experimenter.,0.891666666666667,0.7455484867095947
113,The experimenter was recruited by the subject.,0.265151515151515,0.5878661870956421
114,The sociopath was expelled by the assistant principal.,0.891304347826087,1.1543471813201904
115,The assistant principal was expelled by the sociopath.,0.25925925925925897,1.2390366792678833
116,The noble was obeyed by the page.,0.575757575757576,-0.30237770080566406
117,The page was obeyed by the noble.,0.442028985507246,0.11642694473266602
118,The lab assistant was overwhelmed by the neuroscientist.,0.963768115942029,1.0967257022857666
119,The neuroscientist was overwhelmed by the lab assistant.,0.729166666666667,0.5797443389892578
120,The beneficiary was kidnapped by the miscreant.,0.708333333333333,0.9341381788253784
121,The miscreant was kidnapped by the beneficiary.,0.39506172839506204,0.7366323471069336
122,The old man was shaved by the barber.,0.9907407407407409,0.6785247325897217
123,The barber was shaved by the old man.,0.3916666666666671,0.5832061767578125
124,The participant was dissuaded by the cynic.,0.7407407407407409,0.3147321939468384
125,The cynic was dissuaded by the participant.,0.7424242424242421,0.28672492504119873
126,The president's wife was terrified by the hijacker.,0.84,0.5056072473526001
127,The hijacker was terrified by the president's wife.,0.401515151515152,0.5115865468978882
128,The envelope was sealed by the voter.,0.946969696969697,0.8431211113929749
129,The voter was sealed by the envelope.,0.0133333333333333,0.3320326805114746
130,The flag was hoisted by the serviceman.,0.9772727272727271,1.4188463687896729
131,The serviceman was hoisted by the flag.,0.0416666666666667,1.1214234828948975
132,The clergyman was cherished by the nomad.,0.698412698412698,0.5184942483901978
133,The nomad was cherished by the clergyman.,0.7013888888888891,0.577183723449707
134,The alcohol was provided by the overseer.,0.7826086956521741,0.459575891494751
135,The overseer was provided by the alcohol.,0.0217391304347826,0.01805746555328369
136,The diplomat was driven by the chauffeur.,0.941666666666667,1.2055866718292236
137,The chauffeur was driven by the diplomat.,0.306666666666667,0.8555315732955933
138,The target was reached by the guide.,0.963768115942029,0.03357672691345215
