0,The convalescent was taken by the pill.,The crackhead was smoked by the pipe.,The adventurer was requested by the beverage.,The supervisor was supplied by the liquor.,The teacher was bought by the laptop.,The bellboy was erased by the message.,The crackhead was smoked by the pipe.,The teacher was bought by the laptop.,The bum was stolen by the necklace.,The supervisor was supplied by the liquor.,The shark was mauled by the snorkeler.,The patient was swallowed by the medicine.,The house sitter was watered by the plant.,The zookeeper was fed by the giraffe.,The woodworker was skimmed by the brochure.,The doctor was closed by the school.,The marcher was sung by the anthem.,The supervisor was supplied by the liquor.,The zookeeper was fed by the giraffe.,The mentor was revised by the manuscript.,The announcer was mispronounced by the word.,The shark was mauled by the snorkeler.,The instructor was purchased by the computer.,The meat-eater was devoured by the filet.,The cook was grilled by the octopus.,The serviceman was hoisted by the flag.,The archaeologist was canceled by the trip.,The woodworker was skimmed by the brochure.,The minuteman was loaded by the gun.,The instructor was purchased by the computer.,The voter was sealed by the envelope.,The father was pampered by the infant.,The zookeeper was fed by the giraffe.,The house sitter was watered by the plant.,The archaeologist was canceled by the trip.,The attendant was pressed by the button.,The author was finished by the novel.,The cook was grilled by the octopus.,The marcher was sung by the anthem.,The overseer was provided by the alcohol.,The woman was prepared by the dinner.,The deckhand was unlocked by the door.,The uncle was hung by the ornament.,The archaeologist was canceled by the trip.,The winemaker was uncorked by the bottle.,The aviator was maneuvered by the jet.,The doctor was closed by the school.,The adventurer was requested by the beverage.,The overseer was provided by the alcohol.,The woodworker was skimmed by the brochure.
1,The carnivore was eaten by the steak.,The celebrity was signed by the photograph.,The instructor was purchased by the computer.,The writer was completed by the book.,The shark was mauled by the snorkeler.,The call girl was wasted by the money.,The tailor was costumed by the dancer.,The villager was cultivated by the crop.,The doctor was closed by the school.,The experimenter was recruited by the subject.,The meat-eater was devoured by the filet.,The terrorist was petrified by the first lady.,The hit man was killed by the politician.,The chef was sauteed by the squid.,The shark was mauled by the snorkeler.,The police chief was rewarded by the firefighter.,The bum was stolen by the necklace.,The chef was sauteed by the squid.,The traveler was lost by the souvenir.,The father was pampered by the infant.,The nutritionist was detested by the marmalade.,The townsperson was farmed by the grain.,The traveler was lost by the souvenir.,The experimenter was recruited by the subject.,The celebrity was signed by the photograph.,The writer was completed by the book.,The tanner was placed by the order.,The experimenter was recruited by the subject.,The TV station head was promoted by the newsagent.,The terrorist was petrified by the first lady.,The serviceman was hoisted by the flag.,The chauffeur was driven by the diplomat.,The convalescent was taken by the pill.,The father was pampered by the infant.,The experimenter was recruited by the subject.,The boss was fired by the worker.,The woman was prepared by the dinner.,The shark was mauled by the snorkeler.,The artisan was trained by the apprentice.,The minuteman was loaded by the gun.,The author was finished by the novel.,The sightseer was misplaced by the memento.,The friend was donned by the pullover.,The owner was evicted by the tenant.,The shark was mauled by the snorkeler.,The uncle was hung by the ornament.,The paparazzi was stalked by the pop star.,The president was pardoned by the traitor.,The dietitian was loathed by the jam.,The shark was mauled by the snorkeler.
2,The paparazzi was stalked by the pop star.,The freshman was dodged by the bully.,The TV station head was promoted by the newsagent.,The cyclist was disobeyed by the coach.,The villager was cultivated by the crop.,The magician was hypnotized by the crowd.,The ecologist was warned by the cigar-maker.,The cigar-maker was warned by the ecologist.,The paparazzi was stalked by the pop star.,The TV station head was promoted by the newsagent.,The driver was transported by the ambassador.,The friend was donned by the pullover.,The villager was cultivated by the crop.,The serviceman was hoisted by the flag.,The colonel was supervised by the cadet.,The urologist was treated by the widower.,The Frenchman was sliced by the baguette.,The painter was depicted by the thinker.,The artisan was trained by the apprentice.,The serviceman was hoisted by the flag.,The dietitian was loathed by the jam.,The call girl was wasted by the money.,The freshman was dodged by the bully.,The terrorist was petrified by the first lady.,The villager was cultivated by the crop.,The deer was trapped by the huntsman.,The huntsman was trapped by the deer.,The speaker was engrossed by the audience.,The assistant principal was expelled by the sociopath.,The doctor was closed by the school.,The tanner was placed by the order.,The environmentalist was cautioned by the tobacconist.,The handyman was repaired by the faucet.,The cyclist was disobeyed by the coach.,The producer was cast by the actress.,The bailiff was released by the ruffian.,The man was drunk by the soda.,The advisor was edited by the paper.,The owner was evicted by the tenant.,The guard was apprehended by the prisoner.,The bailiff was released by the ruffian.,The call girl was wasted by the money.,The experimenter was recruited by the subject.,The paparazzi was stalked by the pop star.,The president was pardoned by the traitor.,The chauffeur was driven by the diplomat.,The winemaker was uncorked by the bottle.,The serviceman was hoisted by the flag.,The producer was cast by the actress.,The assistant principal was expelled by the sociopath.
3,The barber was shaved by the old man.,The tennis player was thanked by the chiropractor.,The cyclist was disobeyed by the coach.,The shuttle was left by the vacationer.,The policeman was subdued by the rabble-rouser.,The table was tidied by the receptionist.,The lion was chased by the tour-guide.,The call girl was wasted by the money.,The marketer was duped by the prankster.,The receptionist was tidied by the table.,The assassin was shot by the statesman.,The call girl was wasted by the money.,The cushion was lifted by the maid.,The artisan was trained by the apprentice.,The cyclist was disobeyed by the coach.,The speaker was engrossed by the audience.,The terrorist was petrified by the first lady.,The cook was grilled by the octopus.,The owner was evicted by the tenant.,The artisan was trained by the apprentice.,The cushion was lifted by the maid.,The barber was shaved by the old man.,The maid was lifted by the cushion.,The environmentalist was cautioned by the tobacconist.,The traveler was lost by the souvenir.,The supervisor was supplied by the liquor.,The ditch digger was bent by the wire.,The artisan was trained by the apprentice.,The winemaker was uncorked by the bottle.,The cyclist was disobeyed by the coach.,The celebrity was signed by the photograph.,The call girl was wasted by the money.,The lord was named by the heir.,The secretary was organized by the desk.,The cook was grilled by the octopus.,The schedule was verified by the humorist.,The supervisor was supplied by the liquor.,The humorist was verified by the schedule.,The shark was mauled by the snorkeler.,The minuteman was loaded by the gun.,The tennis player was thanked by the chiropractor.,The channeler was sensed by the ghost.,The assassin was shot by the statesman.,The producer was cast by the actress.,The assistant principal was expelled by the sociopath.,The convalescent was taken by the pill.,The maid was lifted by the cushion.,The vendor was alarmed by the arsonist.,The policeman was subdued by the rabble-rouser.,The secretary was organized by the desk.
4,The caseworker was posed by the question.,The winemaker was uncorked by the bottle.,The terrorist was petrified by the first lady.,The question was posed by the caseworker.,The environmentalist was cautioned by the tobacconist.,The travel-agent was photocopied by the passport.,The tenant was evicted by the owner.,The hatter was decorated by the bowler.,The Frenchman was sliced by the baguette.,The owner was evicted by the tenant.,The jury was acquitted by the economist.,The diver was recharged by the battery.,The offer was accepted by the sociologist.,The terrorist was petrified by the first lady.,The producer was cast by the actress.,The hatter was decorated by the bowler.,The artisan was trained by the apprentice.,The environmentalist was cautioned by the tobacconist.,The zookeeper was fed by the giraffe.,The distributor was tricked by the joker.,The dietitian was loathed by the jam.,The librarian was admonished by the plagiarist.,The negotiator was saved by the captive.,The villager was cultivated by the crop.,The winemaker was uncorked by the bottle.,The project was sponsored by the financier.,The ballot was biased by the campaigner.,The producer was cast by the actress.,The winemaker was uncorked by the bottle.,The financier was sponsored by the project.,The cyclist was disobeyed by the coach.,The president was pardoned by the traitor.,The offer was accepted by the sociologist.,The woman was prepared by the dinner.,The sociologist was accepted by the offer.,The Frenchman was sliced by the baguette.,The hatter was decorated by the bowler.,The president was pardoned by the traitor.,The environmentalist was cautioned by the tobacconist.,The terrorist was petrified by the first lady.,The distributor was tricked by the joker.,The environmentalist was cautioned by the tobacconist.,The quack was discredited by the cardiologist.,The cardiologist was discredited by the quack.,The shark was mauled by the snorkeler.,The loudmouth was tormented by the loner.,The servant was wiped by the sink.,The announcer was mispronounced by the word.,The cyclist was disobeyed by the coach.,The ditch digger was bent by the wire.
5,The TV station head was promoted by the newsagent.,The mother was disciplined by the toddler.,The friend was donned by the pullover.,The cyclist was disobeyed by the coach.,The president was pardoned by the traitor.,The domestic was cleaned by the wash basin.,The personal trainer was weighed by the Olympian.,The winemaker was uncorked by the bottle.,The seamstress was ironed by the shirt.,The deceiver was imitated by the conqueror.,The lady was cooked by the supper.,The company was run by the tycoon.,The Frenchman was sliced by the baguette.,The nun was reproached by the hedonist.,The tycoon was run by the company.,The sightseer was misplaced by the memento.,The shark was mauled by the snorkeler.,The headmaster was reprimanded by the kid.,The ballot was biased by the campaigner.,The vote was prejudiced by the activist.,The Frenchman was sliced by the baguette.,The lion was chased by the tour-guide.,The winemaker was uncorked by the bottle.,The thief was robbed by the manufacturer.,The painter was depicted by the thinker.,The seamstress was ironed by the shirt.,The boss was fired by the worker.,The jury was acquitted by the economist.,The paparazzi was stalked by the pop star.,The producer was cast by the actress.,The lion was chased by the tour-guide.,The artisan was trained by the apprentice.,The cyclist was disobeyed by the coach.,The receptionist was tidied by the table.,The jury was acquitted by the economist.,The fairy was enchanted by the troll.,The channeler was sensed by the ghost.,The vendor was alarmed by the arsonist.,The professional was supported by the beginner.,The uncle was hung by the ornament.,The diver was recharged by the battery.,The headmaster was reprimanded by the kid.,The winemaker was uncorked by the bottle.,The Frenchman was sliced by the baguette.,The painter was depicted by the thinker.,The fan was pestered by the filmmaker.,The financier was sponsored by the project.,The tycoon was run by the company.,The friend was donned by the pullover.,The meat-eater was devoured by the filet.
6,The deceiver was imitated by the conqueror.,The professional was supported by the beginner.,The personal trainer was weighed by the Olympian.,The appointment was rescheduled by the manicurist.,The bellboy was erased by the message.,The potter was molded by the clay.,The governess was instructed by the lad.,The windbag was taunted by the recluse.,The painter was depicted by the thinker.,The marine was packed by the bag.,The guard was apprehended by the prisoner.,The shuttle was left by the vacationer.,The order was placed by the tanner.,The tanner was placed by the order.,The dressmaker was attired by the ballerina.,The professional was supported by the beginner.,The connoisseur was disillusioned by the vocalist.,The victory was guaranteed by the skipper.,The deckhand was unlocked by the door.,The article was ditched by the journalist.,The fan was pestered by the filmmaker.,The librarian was admonished by the plagiarist.,The author was finished by the novel.,The lion was chased by the tour-guide.,The producer was cast by the actress.,The manicurist was rescheduled by the appointment.,The appointment was rescheduled by the manicurist.,The thief was robbed by the manufacturer.,The owner was evicted by the tenant.,The president was pardoned by the traitor.,The warmonger was terrorized by the gunsmith.,The assistant principal was expelled by the sociopath.,The sleuth was located by the attacker.,The attacker was located by the sleuth.,The winemaker was uncorked by the bottle.,The master was encouraged by the rookie.,The traitor was pardoned by the president.,The president was pardoned by the traitor.,The environmentalist was cautioned by the tobacconist.,The chauffeur was driven by the diplomat.,The bellboy was erased by the message.,The scientist was discovered by the cure.,The receptionist was tidied by the table.,The friend was donned by the pullover.,The lion was chased by the tour-guide.,The tennis player was thanked by the chiropractor.,The receptionist was tidied by the table.,The secretary was organized by the desk.,The negotiator was saved by the captive.,The jury was acquitted by the economist.
7,The order was placed by the tanner.,The tanner was placed by the order.,The caretaker was quieted by the orphan.,The accountant was made by the chart.,The orphan was quieted by the caretaker.,The painter was depicted by the thinker.,The barber was shaved by the old man.,The meat-eater was devoured by the filet.,The cardiologist was discredited by the quack.,The TV station head was promoted by the newsagent.,The aviator was maneuvered by the jet.,The speaker was engrossed by the audience.,The teacher was bought by the laptop.,The soda was drunk by the man.,The man was drunk by the soda.,The fairy was enchanted by the troll.,The appointment was rescheduled by the manicurist.,The professional was supported by the beginner.,The sightseer was misplaced by the memento.,The boss was fired by the worker.,The chauffeur was driven by the diplomat.,The painter was depicted by the thinker.,The package was shipped by the forger.,The deckhand was unlocked by the door.,The producer was cast by the actress.,The librarian was admonished by the plagiarist.,The fan was pestered by the filmmaker.,The victory was guaranteed by the skipper.,The ballot was biased by the campaigner.,The tourist was exited by the bus.,The vote was prejudiced by the activist.,The reporter was abandoned by the story.,The speaker was engrossed by the audience.,The seamstress was ironed by the shirt.,The interviewee was wrinkled by the suit.,The painter was depicted by the thinker.,The boss was fired by the worker.,The TV station head was promoted by the newsagent.,The dressmaker was attired by the ballerina.,The travel-agent was photocopied by the passport.,The stash was hidden by the hoarder.,The schoolgirl was borrowed by the key.,The artisan was trained by the apprentice.,The cyclist was disobeyed by the coach.,The friend was donned by the pullover.,The producer was cast by the actress.,The artisan was trained by the apprentice.,The cyclist was disobeyed by the coach.,The owner was evicted by the tenant.,The president was pardoned by the traitor.
8,The program was funded by the banker.,The friend was donned by the pullover.,The caretaker was quieted by the orphan.,The president was pardoned by the traitor.,The traitor was pardoned by the president.,The copycat was redecorated by the apartment.,The fairy was enchanted by the troll.,The attacker was located by the sleuth.,The dressmaker was attired by the ballerina.,The cyclist was disobeyed by the coach.,The ship captain was promised by the triumph.,The trip was canceled by the archaeologist.,The chef was sauteed by the squid.,The offer was accepted by the sociologist.,The triumph was promised by the ship captain.,The announcer was mispronounced by the word.,The nun was reproached by the hedonist.,The package was shipped by the forger.,The speaker was engrossed by the audience.,The nomad was cherished by the clergyman.,The table was tidied by the receptionist.,The uncle was hung by the ornament.,The receptionist was tidied by the table.,The warmonger was terrorized by the gunsmith.,The environmentalist was cautioned by the tobacconist.,The nomad was cherished by the clergyman.,The shark was mauled by the snorkeler.,The owner was evicted by the tenant.,The sleuth was located by the attacker.,The attacker was located by the sleuth.,The illness was caught by the raider.,The friend was donned by the pullover.,The triumph was promised by the ship captain.,The ship captain was promised by the triumph.,The raider was caught by the illness.,The fairy was enchanted by the troll.,The offer was accepted by the sociologist.,The appointment was rescheduled by the manicurist.,The artisan was trained by the apprentice.,The dressmaker was attired by the ballerina.,The uncle was hung by the ornament.,The librarian was admonished by the plagiarist.,The traitor was pardoned by the president.,The president was pardoned by the traitor.,The aviator was maneuvered by the jet.,The car was crashed by the troublemaker.,The winemaker was uncorked by the bottle.,The environmentalist was cautioned by the tobacconist.,The appointment was rescheduled by the manicurist.,The terrorist was petrified by the first lady.
9,The package was shipped by the forger.,The speaker was engrossed by the audience.,The lion was chased by the tour-guide.,The cartoonist was sketched by the unicyclist.,The supremacist was established by the fund.,The nun was reproached by the hedonist.,The caretaker was quieted by the orphan.,The vote was prejudiced by the activist.,The aviator was maneuvered by the jet.,The thief was robbed by the manufacturer.,The attacker was located by the sleuth.,The tennis player was thanked by the chiropractor.,The environmentalist was cautioned by the tobacconist.,The dietitian was loathed by the jam.,The artisan was trained by the apprentice.,The sightseer was misplaced by the memento.,The owner was evicted by the tenant.,The president was pardoned by the traitor.,The traitor was pardoned by the president.,The lion was chased by the tour-guide.,The dietitian was loathed by the jam.,The copycat was redecorated by the apartment.,The fairy was enchanted by the troll.,The triumph was promised by the ship captain.,The ship captain was promised by the triumph.,The owner was evicted by the tenant.,The terrorist was petrified by the first lady.,The vote was prejudiced by the activist.,The zookeeper was fed by the giraffe.,The lion was chased by the tour-guide.,The sleuth was located by the attacker.,The meat-eater was devoured by the filet.,The vagabond was revered by the priest.,The friend was donned by the pullover.,The attacker was located by the sleuth.,The illness was caught by the raider.,The sociologist was accepted by the offer.,The chauffeur was driven by the diplomat.,The offer was accepted by the sociologist.,The lion was chased by the tour-guide.,The chauffeur was driven by the diplomat.,The ship captain was promised by the triumph.,The schoolgirl was borrowed by the key.,The producer was cast by the actress.,The triumph was promised by the ship captain.,The chauffeur was driven by the diplomat.,The traveler was lost by the souvenir.,The supremacist was established by the fund.,The TV station head was promoted by the newsagent.,The cashier was billed by the senior citizen.
