,sentence,typicality,rating,subject/object
0,The actor won the battle.,AT,2.6,"['actor', 'win', 'battle']"
1,The actor won the award.,T,5.8,"['actor', 'win', 'award']"
2,The anchorman told the parable.,AT,3.0,"['anchorman', 'tell', 'parable']"
3,The anchorman told the news.,T,6.75,"['anchorman', 'tell', 'news']"
4,The animal found the map.,AT,2.0,"['animal', 'find', 'map']"
5,The animal found the food.,T,5.85,"['animal', 'find', 'food']"
6,The ant stacked the suitcase.,AT,1.95,"['ant', 'stack', 'suitcase']"
7,The ant stacked the supply.,T,4.4,"['ant', 'stack', 'supply']"
8,The archeologist examined the dog.,AT,1.6,"['archeologist', 'examine', 'dog']"
9,The archeologist examined the epigraph.,T,5.5,"['archeologist', 'examine', 'epigraph']"
10,The archer released the interview.,AT,2.5,"['archer', 'release', 'interview']"
11,The archer released the arrow.,T,6.6,"['archer', 'release', 'arrow']"
12,The artist assembled the tent.,AT,2.0,"['artist', 'assemble', 'tent']"
13,The artist assembled the art.,T,6.35,"['artist', 'assemble', 'art']"
14,The artist hung the motorcycle.,AT,1.95,"['artist', 'hang', 'motorcycle']"
15,The artist hung the picture.,T,5.5,"['artist', 'hang', 'picture']"
16,The assistant helped the soldier.,AT,2.8,"['assistant', 'help', 'soldier']"
17,The assistant helped the cook.,T,5.25,"['assistant', 'help', 'cook']"
18,The astronaut reached the baker.,AT,2.35,"['astronaut', 'reach', 'baker']"
19,The astronaut reached the moon.,T,5.4,"['astronaut', 'reach', 'moon']"
20,The astronaut touched the guitar.,AT,2.0,"['astronaut', 'touch', 'guitar']"
21,The astronaut touched the ground.,T,4.8,"['astronaut', 'touch', 'ground']"
22,The athlete celebrated the marriage.,AT,3.1,"['athlete', 'celebrate', 'marriage']"
23,The athlete celebrated the victory.,T,6.65,"['athlete', 'celebrate', 'victory']"
24,The athlete started the vacuum.,AT,3.45,"['athlete', 'start', 'vacuum']"
25,The athlete started the match.,T,4.15,"['athlete', 'start', 'match']"
26,The athlete won the toy.,AT,3.15,"['athlete', 'win', 'toy']"
27,The athlete won the cup.,T,5.15,"['athlete', 'win', 'cup']"
28,The author signed the check.,AT,3.4,"['author', 'sign', 'check']"
29,The author signed the book.,T,6.15,"['author', 'sign', 'book']"
30,The baker gathered the soldier.,AT,1.0,"['baker', 'gather', 'soldier']"
31,The baker gathered the bread.,T,6.3,"['baker', 'gather', 'bread']"
32,The baker sold the stroller.,AT,2.05,"['baker', 'sell', 'stroller']"
33,The baker sold the bread.,T,6.45,"['baker', 'sell', 'bread']"
34,The bank assigned the book.,AT,2.1,"['bank', 'assign', 'book']"
35,The bank assigned the code.,T,6.15,"['bank', 'assign', 'code']"
36,The barber cut the cake.,AT,2.1,"['barber', 'cut', 'cake']"
37,The barber cut the hair.,T,6.65,"['barber', 'cut', 'hair']"
38,The barber used the microscope.,AT,1.2,"['barber', 'use', 'microscope']"
39,The barber used the razor.,T,6.55,"['barber', 'use', 'razor']"
40,The bartender handed the lancet.,AT,1.4,"['bartender', 'hand', 'lancet']"
41,The bartender handed the drink.,T,6.55,"['bartender', 'hand', 'drink']"
42,The bartender shook the flag.,AT,2.05,"['bartender', 'shake', 'flag']"
43,The bartender shook the drink.,T,6.25,"['bartender', 'shake', 'drink']"
44,The beautician spread the paint.,AT,2.9,"['beautician', 'spread', 'paint']"
45,The beautician spread the cream.,T,5.2,"['beautician', 'spread', 'cream']"
46,The biker started the lesson.,AT,3.4,"['biker', 'start', 'lesson']"
47,The biker started the motorcycle.,T,6.15,"['biker', 'start', 'motorcycle']"
48,The biker wore the swimsuit.,AT,2.1,"['biker', 'wear', 'swimsuit']"
49,The biker wore the helmet.,T,6.8,"['biker', 'wear', 'helmet']"
50,The billionaire donated the book.,AT,4.15,"['billionaire', 'donate', 'book']"
51,The billionaire donated the money.,T,6.2,"['billionaire', 'donate', 'money']"
52,The binman collected the flower.,AT,3.05,"['binman', 'collect', 'flower']"
53,The binman collected the trash.,T,5.35,"['binman', 'collect', 'trash']"
54,The biologist used the razor.,AT,3.3,"['biologist', 'use', 'razor']"
55,The biologist used the microscope.,T,6.7,"['biologist', 'use', 'microscope']"
56,The blacksmith poured the wine.,AT,1.6,"['blacksmith', 'pour', 'wine']"
57,The blacksmith poured the metal.,T,6.5,"['blacksmith', 'pour', 'metal']"
58,The bodybuilder lifted the flag.,AT,3.1,"['bodybuilder', 'lift', 'flag']"
59,The bodybuilder lifted the weight.,T,6.45,"['bodybuilder', 'lift', 'weight']"
60,The boss assigned the medal.,AT,3.0,"['boss', 'assign', 'medal']"
61,The boss assigned the job.,T,6.75,"['boss', 'assign', 'job']"
62,The boss promised the heaven.,AT,2.25,"['boss', 'promise', 'heaven']"
63,The boss promised the promotion.,T,5.95,"['boss', 'promise', 'promotion']"
64,The botanist examined the tire.,AT,3.0,"['botanist', 'examine', 'tire']"
65,The botanist examined the plant.,T,6.55,"['botanist', 'examine', 'plant']"
66,The boxer delivered the drink.,AT,2.2,"['boxer', 'deliver', 'drink']"
67,The boxer delivered the punch.,T,6.15,"['boxer', 'deliver', 'punch']"
68,The breeder sold the cigarette.,AT,1.9,"['breeder', 'sell', 'cigarette']"
69,The breeder sold the dog.,T,6.25,"['breeder', 'sell', 'dog']"
70,The burglar climbed the rock.,AT,2.75,"['burglar', 'climb', 'rock']"
71,The burglar climbed the wall.,T,6.05,"['burglar', 'climb', 'wall']"
72,The businessman read the fable.,AT,2.35,"['businessman', 'read', 'fable']"
73,The businessman read the report.,T,6.45,"['businessman', 'read', 'report']"
74,The businessman tied the prisoner.,AT,1.45,"['businessman', 'tie', 'prisoner']"
75,The businessman tied the necktie.,T,6.5,"['businessman', 'tie', 'necktie']"
76,The businessman wore the uniform.,AT,4.15,"['businessman', 'wear', 'uniform']"
77,The businessman wore the tie.,T,6.55,"['businessman', 'wear', 'tie']"
78,The butcher carved the stone.,AT,2.3,"['butcher', 'carve', 'stone']"
79,The butcher carved the meat.,T,5.75,"['butcher', 'carve', 'meat']"
80,The butcher cut the tree.,AT,1.8,"['butcher', 'cut', 'tree']"
81,The butcher cut the meat.,T,6.75,"['butcher', 'cut', 'meat']"
82,The butcher sold the weapon.,AT,1.6,"['butcher', 'sell', 'weapon']"
83,The butcher sold the meat.,T,6.95,"['butcher', 'sell', 'meat']"
84,The butcher used the camera.,AT,2.05,"['butcher', 'use', 'camera']"
85,The butcher used the knife.,T,6.35,"['butcher', 'use', 'knife']"
86,The cameraman recorded the sale.,AT,2.45,"['cameraman', 'record', 'sale']"
87,The cameraman recorded the video.,T,6.85,"['cameraman', 'record', 'video']"
88,The candidate celebrated the holiday.,AT,5.0,"['candidate', 'celebrate', 'holiday']"
89,The candidate celebrated the victory.,T,5.9,"['candidate', 'celebrate', 'victory']"
90,The carpenter fixed the shoe.,AT,1.2,"['carpenter', 'fix', 'shoe']"
91,The carpenter fixed the chair.,T,5.55,"['carpenter', 'fix', 'chair']"
92,The carpenter flipped the hair.,AT,3.1,"['carpenter', 'flip', 'hair']"
93,The carpenter flipped the board.,T,6.35,"['carpenter', 'flip', 'board']"
94,The carpenter grabbed the ball.,AT,1.25,"['carpenter', 'grab', 'ball']"
95,The carpenter grabbed the board.,T,5.85,"['carpenter', 'grab', 'board']"
96,The carver built the house.,AT,2.9,"['carver', 'build', 'house']"
97,The carver built the sculpture.,T,6.05,"['carver', 'build', 'sculpture']"
98,The cat chased the kite.,AT,3.9,"['cat', 'chase', 'kite']"
99,The cat chased the bird.,T,5.85,"['cat', 'chase', 'bird']"
100,The cat drank the coffee.,AT,1.45,"['cat', 'drink', 'coffee']"
101,The cat drank the milk.,T,5.6,"['cat', 'drink', 'milk']"
102,The champion held the guitar.,AT,2.95,"['champion', 'hold', 'guitar']"
