,Sentence,YTest,YPred
0,The crop was cultivated by the villager.,0.9861111111111109,0.6209695339202881
1,The villager was cultivated by the crop.,0.0648148148148148,0.6209695339202881
2,The pullover was donned by the friend.,0.8636363636363641,0.5625845193862915
3,The friend was donned by the pullover.,0.143939393939394,0.5625845193862915
4,The liquor was supplied by the supervisor.,0.73015873015873,0.5972586870193481
5,The supervisor was supplied by the liquor.,0.00757575757575757,0.5972586870193481
6,The corporation was governed by the mogul.,0.856060606060606,0.5972586870193481
7,The mogul was governed by the corporation.,0.40833333333333294,0.5972586870193481
8,The child was scolded by the principal.,0.946969696969697,0.6209695339202881
9,The principal was scolded by the child.,0.33333333333333304,0.6209695339202881
10,The distributor was tricked by the joker.,0.775,0.6209695339202881
11,The joker was tricked by the distributor.,0.5984848484848491,0.6209695339202881
12,The fund was established by the supremacist.,0.9090909090909091,0.5972586870193481
13,The supremacist was established by the fund.,0.304347826086957,0.5972586870193481
14,The hedonist was reproached by the nun.,0.8402777777777779,0.5956450700759888
15,The nun was reproached by the hedonist.,0.704545454545455,0.5956450700759888
16,The maestro was irked by the amateur.,0.9242424242424241,0.5625845193862915
17,The amateur was irked by the maestro.,0.741666666666667,0.5625845193862915
18,The pipe was smoked by the crackhead.,0.930555555555555,0.6209695339202881
19,The crackhead was smoked by the pipe.,0.0208333333333333,0.6209695339202881
20,The boy was tutored by the nanny.,0.9772727272727271,0.5625845193862915
21,The nanny was tutored by the boy.,0.28030303030303,0.5625845193862915
22,The project was sponsored by the financier.,0.9047619047619051,0.5625845193862915
23,The financier was sponsored by the project.,0.20454545454545497,0.5625845193862915
24,The girl was spanked by the au pair.,0.746666666666667,0.5625845193862915
25,The au pair was spanked by the girl.,0.368055555555556,0.5625845193862915
26,The paper was edited by the advisor.,0.8402777777777779,0.5972586870193481
27,The advisor was edited by the paper.,0.173611111111111,0.5972586870193481
28,The pill was taken by the convalescent.,0.7575757575757579,0.5625845193862915
29,The convalescent was taken by the pill.,0.0579710144927536,0.5625845193862915
30,The priest was revered by the vagabond.,0.787878787878788,0.5625845193862915
31,The vagabond was revered by the priest.,0.4166666666666671,0.5625845193862915
32,The beverage was requested by the adventurer.,0.856060606060606,0.5972586870193481
33,The adventurer was requested by the beverage.,0.0277777777777778,0.5972586870193481
34,The word was mispronounced by the announcer.,0.962121212121212,0.5625845193862915
35,The announcer was mispronounced by the word.,0.0625,0.5625845193862915
36,The youth was revived by the paramedic.,0.963768115942029,0.6209695339202881
37,The paramedic was revived by the youth.,0.36231884057971003,0.6209695339202881
38,The laptop was bought by the teacher.,0.9927536231884059,0.5972586870193481
39,The teacher was bought by the laptop.,0.0,0.5972586870193481
40,The bowler was decorated by the hatter.,0.402777777777778,0.5625845193862915
41,The hatter was decorated by the bowler.,0.43181818181818205,0.5625845193862915
42,The button was pressed by the attendant.,0.9772727272727271,0.5972586870193481
43,The attendant was pressed by the button.,0.0555555555555555,0.5972586870193481
44,The door was unlocked by the deckhand.,0.9492753623188409,0.6209695339202881
45,The deckhand was unlocked by the door.,0.0432098765432099,0.6209695339202881
46,The clay was molded by the potter.,1.0,0.6209695339202881
47,The potter was molded by the clay.,0.0625,0.6209695339202881
48,The conqueror was imitated by the deceiver.,0.674242424242424,0.5956450700759888
49,The deceiver was imitated by the conqueror.,0.5606060606060611,0.5956450700759888
50,The desk was organized by the secretary.,0.9652777777777779,0.5972586870193481
51,The secretary was organized by the desk.,0.0625,0.5972586870193481
52,The address was given by the representative.,0.931818181818182,0.5810535550117493
53,The representative was given by the address.,0.08,0.5810535550117493
54,The remedy was found by the researcher.,0.9652777777777779,0.5810535550117493
