SentenceNum,InputSent,PredictedSeq,PredictedToken,PredictedTokenId,Score,IsVerb
1,The criminal is <mask> the cop.,The criminal is blaming the cop.,blaming,15249,0.05602741613984108,1
1,The criminal is <mask> the cop.,The criminal is suing the cop.,suing,15449,0.05586026981472969,1
1,The criminal is <mask> the cop.,The criminal is killing the cop.,killing,2429,0.04241899400949478,1
3,The child is <mask> the babysitter.,The child is suing the babysitter.,suing,15449,0.10015608370304108,1
3,The child is <mask> the babysitter.,The child is assisting the babysitter.,assisting,13390,0.04004541411995888,1
3,The child is <mask> the babysitter.,The child is helping the babysitter.,helping,1903,0.019678765907883644,1
3,The child is <mask> the babysitter.,The child is blaming the babysitter.,blaming,15249,0.01563243567943573,1
3,The child is <mask> the babysitter.,The child is being the babysitter.,being,145,0.014720873907208443,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is performing a stethoscope on the doctor.,performing,4655,0.2677396833896637,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is placing a stethoscope on the doctor.,placing,9405,0.13041523098945618,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is putting a stethoscope on the doctor.,putting,2057,0.08475087583065033,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is awaiting a stethoscope on the doctor.,awaiting,10254,0.05185877904295921,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is keeping a stethoscope on the doctor.,keeping,2396,0.05073792487382889,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is wearing a stethoscope on the doctor.,wearing,2498,0.04567452147603035,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is having a stethoscope on the doctor.,having,519,0.02245156466960907,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is displaying a stethoscope on the doctor.,displaying,18534,0.015733353793621063,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is getting a stethoscope on the doctor.,getting,562,0.013841759413480759,1
5,The patient is <mask> a stethoscope on the doctor.,The patient is passing a stethoscope on the doctor.,passing,3133,0.01152647566050291,1
7,The grandmother is <mask> the fireman.,The grandmother is assisting the fireman.,assisting,13390,0.45129936933517456,1
7,The grandmother is <mask> the fireman.,The grandmother is helping the fireman.,helping,1903,0.06496309489011765,1
7,The grandmother is <mask> the fireman.,The grandmother is interviewing the fireman.,interviewing,21514,0.03878117725253105,1
7,The grandmother is <mask> the fireman.,The grandmother is comforting the fireman.,comforting,29090,0.02014162205159664,1
7,The grandmother is <mask> the fireman.,The grandmother is accompanying the fireman.,accompanying,14539,0.010010012425482273,1
7,The grandmother is <mask> the fireman.,The grandmother is advising the fireman.,advising,16442,0.009752399288117886,1
9,The patient is <mask> the dentist.,The patient is suing the dentist.,suing,15449,0.31291988492012024,1
9,The patient is <mask> the dentist.,The patient is visiting the dentist.,visiting,3918,0.07068075239658356,1
9,The patient is <mask> the dentist.,The patient is seeing the dentist.,seeing,1782,0.054928917437791824,1
9,The patient is <mask> the dentist.,The patient is calling the dentist.,calling,1765,0.040703628212213516,1
9,The patient is <mask> the dentist.,The patient is approaching the dentist.,approaching,8955,0.030163763090968132,1
