ItemNumber,Voice,Plausible/Implausible,Stimulus,OriginalSentence,EvType,Subject,Object,Verb,Paired,is_globsem,in_olddata
1,Active,Plausible,The raider caught the illness.,The raider caught the illness.,AI,raider,illness,caught,True,False,True
2,Active,Plausible,The marauder contracted the disease.,The marauder contracted the disease.,AI,marauder,disease,contracted,True,False,True
3,Active,Plausible,The repairman fixed the tap.,The tap was fixed by the repairman.,AI,repairman,tap,fixed,True,False,True
4,Active,Plausible,The handyman repaired the faucet.,The faucet was repaired by the handyman.,AI,handyman,faucet,repaired,True,False,True
5,Active,Plausible,The convict dreaded the prison.,The convict dreaded prison.,AI,convict,prison,dreaded,True,False,False
6,Active,Plausible,The criminal feared the jail.,The criminal feared jail.,AI,criminal,jail,feared,True,False,False
7,Active,Plausible,The dietician loathed the jam.,Jam was loathed by the dietician.,AI,dietician,jam,loathed,True,False,False
8,Active,Plausible,The nutritionist detested the marmalade.,Marmalade was detested by the nutritionist.,AI,nutritionist,marmalade,detested,True,False,False
9,Active,Plausible,The prostitute squandered the cash.,The prostitute squandered the cash.,AI,prostitute,cash,squandered,True,False,True
10,Active,Plausible,The girl wasted the money.,The call girl wasted the money.,AI,girl,money,wasted,True,False,False
11,Active,Plausible,The author finished the novel.,The novel was finished by the author.,AI,author,novel,finished,True,False,True
12,Active,Plausible,The writer completed the book.,The book was completed by the writer.,AI,writer,book,completed,True,False,True
13,Active,Plausible,The adventurer requested the beverage.,The adventurer requested a beverage.,AI,adventurer,beverage,requested,False,False,False
14,Active,Plausible,The captain promised the triumph.,A triumph was promised by the ship captain.,AI,captain,triumph,promised,True,False,False
15,Active,Plausible,The skipper guaranteed the victory.,A victory was guaranteed by the skipper.,AI,skipper,victory,guaranteed,True,False,True
16,Active,Plausible,The undertaker prepared the funeral.,The undertaker prepared the funeral.,AI,undertaker,funeral,prepared,True,False,True
17,Active,Plausible,The mortician arranged the burial.,The mortician arranged the burial.,AI,mortician,burial,arranged,True,False,True
18,Active,Plausible,The accountant made the chart.,The chart was made by the accountant.,AI,accountant,chart,made,True,False,True
19,Active,Plausible,The bookkeeper created the graph.,The graph was created by the bookkeeper.,AI,bookkeeper,graph,created,True,False,True
20,Active,Plausible,The supervisor supplied the liquor.,The supervisor supplied the liquor.,AI,supervisor,liquor,supplied,True,False,True
21,Active,Plausible,The overseer provided the alcohol.,The overseer provided the alcohol.,AI,overseer,alcohol,provided,True,False,True
22,Active,Plausible,The builder washed the pants.,The pants were washed by the builder.,AI,builder,pants,washed,True,False,True
23,Active,Plausible,The contractor laundered the trousers.,The trousers were laundered by the contractor.,AI,contractor,trousers,laundered,True,False,True
24,Active,Plausible,The troublemaker crashed the car.,The troublemaker crashed the car.,AI,troublemaker,car,crashed,True,False,True
25,Active,Plausible,The hooligan wrecked the vehicle.,The hooligan wrecked the vehicle.,AI,hooligan,vehicle,wrecked,True,False,True
26,Active,Plausible,The convalescent took the pill.,The pill was taken by the convalescent.,AI,convalescent,pill,took,True,False,True
27,Active,Plausible,The patient swallowed the medicine.,The medicine was swallowed by the patient.,AI,patient,medicine,swallowed,True,False,True
28,Active,Plausible,The secretary organized the desk.,The secretary organized the desk.,AI,secretary,desk,organized,True,False,True
29,Active,Plausible,The receptionist tidied the table.,The receptionist tidied the table.,AI,receptionist,table,tidied,True,False,True
30,Active,Plausible,The carnivore ate the steak.,The steak was eaten by the carnivore.,AI,carnivore,steak,ate,True,False,True
31,Active,Plausible,The meat-eater devoured the filet.,The filet was devoured by the meat-eater.,AI,meat-eater,filet,devoured,True,False,True
32,Active,Plausible,The pilot steered the airplane.,The pilot steered the airplane.,AI,pilot,airplane,steered,True,False,True
33,Active,Plausible,The aviator maneuvered the jet.,The aviator maneuvered the jet.,AI,aviator,jet,maneuvered,True,False,True
34,Active,Plausible,The traveler lost the souvenir.,The souvenir was lost by the traveler.,AI,traveler,souvenir,lost,True,False,True
35,Active,Plausible,The sightseer misplaced the memento.,The memento was misplaced by the sightseer.,AI,sightseer,memento,misplaced,True,False,True
36,Active,Plausible,The chef sauteed the squid.,The chef sauteed the squid.,AI,chef,squid,sauteed,True,False,False
37,Active,Plausible,The cook grilled the octopus.,The cook grilled the octopus.,AI,cook,octopus,grilled,True,False,True
38,Active,Plausible,The reporter abandoned the story.,The story was abandoned by the reporter.,AI,reporter,story,abandoned,True,False,True
39,Active,Plausible,The journalist ditched the article.,The article was ditched by the journalist.,AI,journalist,article,ditched,True,False,True
40,Active,Plausible,The milliner adorned the fedora.,The milliner adorned the fedora.,AI,milliner,fedora,adorned,True,False,True
41,Active,Plausible,The hatter decorated the bowler.,The hatter decorated the bowler.,AI,hatter,bowler,decorated,True,False,True
42,Active,Plausible,The scientist discovered the cure.,The cure was discovered by the scientist.,AI,scientist,cure,discovered,True,False,True
43,Active,Plausible,The researcher found the remedy.,The remedy was found by the researcher.,AI,researcher,remedy,found,True,False,True
44,Active,Plausible,The serviceman hoisted the flag.,The serviceman hoisted the flag.,AI,serviceman,flag,hoisted,True,False,True
45,Active,Plausible,The soldier raised the banner.,The soldier raised the banner.,AI,soldier,banner,raised,True,False,True
46,Active,Plausible,The lady cooked the supper.,The supper was cooked by the lady.,AI,lady,supper,cooked,True,False,True
47,Active,Plausible,The woman prepared the dinner.,The dinner was prepared by the woman.,AI,woman,dinner,prepared,True,False,True
48,Active,Plausible,The agent failed the mission.,The agent failed the mission.,AI,agent,mission,failed,True,False,True
49,Active,Plausible,The operative blew the assignment.,The operative blew the assignment.,AI,operative,assignment,blew,True,False,True
50,Active,Plausible,The teacher bought the laptop.,The laptop was bought by the teacher.,AI,teacher,laptop,bought,True,False,True
51,Active,Plausible,The instructor purchased the computer.,The computer was purchased by the instructor.,AI,instructor,computer,purchased,True,False,True
52,Active,Plausible,The anchorman garbled the expression.,The anchorman garbled the expression.,AI,anchorman,expression,garbled,True,False,True
53,Active,Plausible,The announcer mispronounced the word.,The announcer mispronounced the word.,AI,announcer,word,mispronounced,True,False,True
54,Active,Plausible,The hoarder hid the stash.,The stash was hidden by the hoarder.,AI,hoarder,stash,hid,True,False,True
55,Active,Plausible,The packrat concealed the stockpile.,The stockpile was concealed by the packrat.,AI,packrat,stockpile,concealed,True,False,True
56,Active,Plausible,The financier sponsored the project.,The financier sponsored the project.,AI,financier,project,sponsored,True,False,True
57,Active,Plausible,The banker funded the program.,The banker funded the program.,AI,banker,program,funded,True,False,True
58,Active,Plausible,The maid lifted the cushion.,The cushion was lifted by the maid.,AI,maid,cushion,lifted,False,False,True
59,Active,Plausible,The tourist exited the bus.,The tourist exited the bus.,AI,tourist,bus,exited,True,False,True
60,Active,Plausible,The vacationer left the shuttle.,The vacationer left the shuttle.,AI,vacationer,shuttle,left,True,False,True
61,Active,Plausible,The mentor revised the manuscript.,The manuscript was revised by the mentor.,AI,mentor,manuscript,revised,True,False,True
62,Active,Plausible,The advisor edited the paper.,The paper was edited by the advisor.,AI,advisor,paper,edited,True,False,True
63,Active,Plausible,The dietitian loathed the jam.,The dietitian loathed jam.,AI,dietitian,jam,loathed,True,False,False
64,Active,Plausible,The doctor closed the school.,The doctor closed the school.,AI,doctor,school,closed,True,False,True
65,Active,Plausible,The campaigner biased the ballot.,The ballot was biased by the campaigner.,AI,campaigner,ballot,biased,True,False,True
66,Active,Plausible,The activist prejudiced the vote.,The vote was prejudiced by the activist.,AI,activist,vote,prejudiced,True,False,True
67,Active,Plausible,The designer suggested the drapes.,The designer suggested the drapes.,AI,designer,drapes,suggested,True,False,True
68,Active,Plausible,The decorator recommended the curtains.,The decorator recommended the curtains.,AI,decorator,curtains,recommended,True,False,True
69,Active,Plausible,The congressman delivered the speech.,The speech was delivered by the congressman.,AI,congressman,speech,delivered,True,False,True
70,Active,Plausible,The representative gave the address.,The address was given by the representative.,AI,representative,address,gave,True,False,True
71,Active,Plausible,The servant wiped the sink.,The servant wiped the sink.,AI,servant,sink,wiped,True,False,True
72,Active,Plausible,The domestic cleaned the basin.,The domestic cleaned the wash basin.,AI,domestic,basin,cleaned,True,False,False
73,Active,Plausible,The comedian confirmed the itinerary.,The itinerary was confirmed by the comedian.,AI,comedian,itinerary,confirmed,True,False,True
74,Active,Plausible,The humorist verified the schedule.,The schedule was verified by the humorist.,AI,humorist,schedule,verified,True,False,True
75,Active,Plausible,The friend donned the pullover.,The friend donned the pullover.,AI,friend,pullover,donned,False,False,True
76,Active,Plausible,The townsperson farmed the grain.,The grain was farmed by the townsperson.,AI,townsperson,grain,farmed,True,False,True
77,Active,Plausible,The villager cultivated the crop.,The crop was cultivated by the villager.,AI,villager,crop,cultivated,True,False,True
78,Active,Plausible,The man drank the soda.,The man drank the soda.,AI,man,soda,drank,False,False,True
79,Active,Plausible,The logger felled the tree.,The pine tree was felled by the logger.,AI,logger,tree,felled,True,False,False
80,Active,Plausible,The woodworker skimmed the brochure.,The woodworker skimmed the brochure.,AI,woodworker,brochure,skimmed,True,False,True
81,Active,Plausible,The guide reached the target.,The target was reached by the guide.,AI,guide,target,reached,False,False,True
82,Active,Plausible,The mortician arraged the burial.,The burial was arranged by the mortician.,AI,mortician,burial,arraged,False,False,False
83,Active,Plausible,The tycoon ran the company.,The tycoon ran the company.,AI,tycoon,company,ran,True,False,True
84,Active,Plausible,The mogul governed the corporation.,The mogul governed the corporation.,AI,mogul,corporation,governed,True,False,True
85,Active,Plausible,The stewardess pulled the suitcase.,The suitcase was pulled by the stewardess.,AI,stewardess,suitcase,pulled,True,False,True
86,Active,Plausible,The flight-attendant dragged the luggage.,The luggage was dragged by the flight-attendant.,AI,flight-attendant,luggage,dragged,True,False,True
87,Active,Plausible,The sheriff inspected the estate.,The sheriff inspected the estate.,AI,sheriff,estate,inspected,True,False,True
88,Active,Plausible,The constable examined the property.,The constable examined the property.,AI,constable,property,examined,True,False,True
89,Active,Plausible,The celebrity signed the photograph.,The photograph was signed by the celebrity.,AI,celebrity,photograph,signed,True,False,True
90,Active,Plausible,The star autographed the picture.,The picture was autographed by the star.,AI,star,picture,autographed,True,False,True
91,Active,Plausible,The nanny tutored the boy.,The nanny tutored the boy.,AAN,nanny,boy,tutored,True,False,True
92,Active,Plausible,The governess instructed the lad.,The governess instructed the lad.,AAN,governess,lad,instructed,True,False,True
93,Active,Plausible,The blackmailer threatened the senator.,The senator was threatened by the blackmailer.,AAN,blackmailer,senator,threatened,True,False,True
94,Active,Plausible,The extortionist menaced the legislator.,The legislator was menaced by the extortionist.,AAN,extortionist,legislator,menaced,True,False,True
95,Active,Plausible,The artist portrayed the philosopher.,The artist portrayed the philosopher.,AAN,artist,philosopher,portrayed,True,False,True
96,Active,Plausible,The painter depicted the thinker.,The painter depicted the thinker.,AAN,painter,thinker,depicted,True,False,True
97,Active,Plausible,The mechanic berated the intern.,The intern was berated by the mechanic.,AAN,mechanic,intern,berated,True,False,True
98,Active,Plausible,The technician rebuked the aide.,The aide was rebuked by the technician.,AAN,technician,aide,rebuked,True,False,True
99,Active,Plausible,The fairy enchanted the troll.,The fairy enchanted the troll.,AAN,fairy,troll,enchanted,True,False,True
100,Active,Plausible,The pixie mesmerized the ogre.,The pixie mesmerized the ogre.,AAN,pixie,ogre,mesmerized,True,False,True
101,Active,Plausible,The orderly assisted the dentist.,The dentist was assisted by the orderly.,AAN,orderly,dentist,assisted,True,False,True
102,Active,Plausible,The nurse helped the orthodontist.,The orthodontist was helped by the nurse.,AAN,nurse,orthodontist,helped,True,False,True
103,Active,Plausible,The owner evicted the tenant.,The owner evicted the tenant.,AAN,owner,tenant,evicted,False,False,True
104,Active,Plausible,The critic attacked the conservative.,The conservative was attacked by the critic.,AAN,critic,conservative,attacked,True,False,True
105,Active,Plausible,The reviewer criticized the right-winger.,The right-winger was criticized by the reviewer.,AAN,reviewer,right-winger,criticized,True,False,True
106,Active,Plausible,The admirer badgered the director.,The admirer badgered the director.,AAN,admirer,director,badgered,True,False,True
107,Active,Plausible,The fan pestered the filmmaker.,The fan pestered the filmmaker.,AAN,fan,filmmaker,pestered,True,False,True
108,Active,Plausible,The paramedic revived the youth.,The youth was revived by the paramedic.,AAN,paramedic,youth,revived,True,False,True
109,Active,Plausible,The EMT resuscitated the youngster.,The youngster was resuscitated by the EMT.,AAN,EMT,youngster,resuscitated,True,False,True
110,Active,Plausible,The prankster duped the marketer.,The prankster duped the marketer.,AAN,prankster,marketer,duped,True,False,True
111,Active,Plausible,The joker tricked the distributor.,The joker tricked the distributor.,AAN,joker,distributor,tricked,True,False,True
112,Active,Plausible,The playboy courted the damsel.,The damsel was courted by the playboy.,AAN,playboy,damsel,courted,True,False,True
113,Active,Plausible,The womanizer wooed the maiden.,The maiden was wooed by the womanizer.,AAN,womanizer,maiden,wooed,True,False,True
114,Active,Plausible,The nomad cherished the clergyman.,The nomad cherished the clergyman.,AAN,nomad,clergyman,cherished,True,False,True
115,Active,Plausible,The vagabond revered the priest.,The vagabond revered the priest.,AAN,vagabond,priest,revered,True,False,True
116,Active,Plausible,The assassin shot the statesman.,The statesman was shot by the assassin.,AAN,assassin,statesman,shot,True,False,True
117,Active,Plausible,The hitman killed the politician.,The politician was killed by the hit man.,AAN,hitman,politician,killed,True,False,False
118,Active,Plausible,The clerk charged the elderly.,The clerk charged the elderly person.,AAN,clerk,elderly,charged,True,False,False
119,Active,Plausible,The cashier billed the citizen.,The cashier billed the senior citizen.,AAN,cashier,citizen,billed,True,False,False
120,Active,Plausible,The mediator rescued the hostage.,The hostage was rescued by the mediator.,AAN,mediator,hostage,rescued,True,False,True
121,Active,Plausible,The negotiator saved the captive.,The captive was saved by the negotiator.,AAN,negotiator,captive,saved,True,False,True
122,Active,Plausible,The detective found the assailant.,The detective found the assailant.,AAN,detective,assailant,found,True,False,True
123,Active,Plausible,The sleuth located the attacker.,The sleuth located the attacker.,AAN,sleuth,attacker,located,True,False,True
124,Active,Plausible,The artisan trained the apprentice.,The apprentice was trained by the artisan.,AAN,artisan,apprentice,trained,True,False,True
125,Active,Plausible,The craftsman taught the trainee.,The trainee was taught by the craftsman.,AAN,craftsman,trainee,taught,True,False,True
126,Active,Plausible,The biker defied the trainer.,The biker defied the trainer.,AAN,biker,trainer,defied,True,False,True
127,Active,Plausible,The cyclist disobeyed the coach.,The cyclist disobeyed the coach.,AAN,cyclist,coach,disobeyed,True,False,True
128,Active,Plausible,The speaker engrossed the audience.,The audience was engrossed by the speaker.,AAN,speaker,audience,engrossed,True,False,True
129,Active,Plausible,The orator captivated the spectators.,The spectators were captivated by the orator.,AAN,orator,spectators,captivated,True,False,True
130,Active,Plausible,The genius shocked the cousin.,The genius shocked the cousin.,AAN,genius,cousin,shocked,True,False,True
131,Active,Plausible,The prodigy surprised the relative.,The prodigy surprised the relative.,AAN,prodigy,relative,surprised,True,False,True
132,Active,Plausible,The smuggler bribed the bureaucrat.,The bureaucrat was bribed by the smuggler.,AAN,smuggler,bureaucrat,bribed,False,False,True
133,Active,Plausible,The amateur irked the maesto.,The amateur irked the maestro.,AAN,amateur,maesto,irked,True,False,False
134,Active,Plausible,The novice irritated the virtuoso.,The novice irritated the virtuoso.,AAN,novice,virtuoso,irritated,True,False,True
135,Active,Plausible,The lawyer questioned the witness.,The witness was questioned by the lawyer.,AAN,lawyer,witness,questioned,True,False,True
136,Active,Plausible,The attorney interrogated the bystander.,The bystander was interrogated by the attorney.,AAN,attorney,bystander,interrogated,True,False,True
137,Active,Plausible,The singer disappointed the enthusiast.,The singer disappointed the enthusiast.,AAN,singer,enthusiast,disappointed,True,False,True
138,Active,Plausible,The vocalist disillusioned the connoisseur.,The vocalist disillusioned the connoisseur.,AAN,vocalist,connoisseur,disillusioned,True,False,True
139,Active,Plausible,The chauffeur drove the diplomat.,The diplomat was driven by the chauffeur.,AAN,chauffeur,diplomat,drove,True,False,True
140,Active,Plausible,The driver transported the ambassador.,The ambassador was transported by the driver.,AAN,driver,ambassador,transported,True,False,True
141,Active,Plausible,The guard apprehended the prisoner.,The guard apprehended the prisoner.,AAN,guard,prisoner,apprehended,True,False,True
142,Active,Plausible,The warden caught the inmate.,The warden caught the inmate.,AAN,warden,inmate,caught,True,False,True
143,Active,Plausible,The tailor costumed the dancer.,The dancer was costumed by the tailor.,AAN,tailor,dancer,costumed,True,False,True
144,Active,Plausible,The dressmaker attired the ballerina.,The ballerina was attired by the dressmaker.,AAN,dressmaker,ballerina,attired,True,False,True
145,Active,Plausible,The principal scolded the child.,The principal scolded the child.,AAN,principal,child,scolded,True,False,True
146,Active,Plausible,The headmaster reprimanded the kid.,The headmaster reprimanded the kid.,AAN,headmaster,kid,reprimanded,True,False,True
147,Active,Plausible,The lord named the heir.,The heir was named by the lord.,AAN,lord,heir,named,True,False,True
148,Active,Plausible,The baron chose the successor.,The successor was chosen by the baron.,AAN,baron,successor,chose,True,False,True
149,Active,Plausible,The cop restrained the rioter.,The cop restrained the rioter.,AAN,cop,rioter,restrained,True,False,True
150,Active,Plausible,The policeman subdued the rabble-rouser.,The policeman subdued the rabble-rouser.,AAN,policeman,rabble-rouser,subdued,True,False,True
151,Active,Plausible,The dad coddled the baby.,The baby was coddled by the dad.,AAN,dad,baby,coddled,True,False,True
152,Active,Plausible,The father pampered the infant.,The infant was pampered by the father.,AAN,father,infant,pampered,True,False,True
153,Active,Plausible,The king exiled the rebel.,The king exiled the rebel.,AAN,king,rebel,exiled,True,False,True
154,Active,Plausible,The monarch banished the insurgent.,The monarch banished the insurgent.,AAN,monarch,insurgent,banished,True,False,True
155,Active,Plausible,The thief robbed the manufacturer.,The manufacturer was robbed by the thief.,AAN,thief,manufacturer,robbed,True,False,True
156,Active,Plausible,The robber burgled the industrialist.,The industrialist was burgled by the robber.,AAN,robber,industrialist,burgled,True,False,True
157,Active,Plausible,The pessimist discouraged the contestant.,The pessimist discouraged the contestant.,AAN,pessimist,contestant,discouraged,True,False,True
158,Active,Plausible,The cynic dissuaded the participant.,The cynic dissuaded the participant.,AAN,cynic,participant,dissuaded,True,False,True
159,Active,Plausible,The loudmouth tormented the loner.,The loner was tormented by the loudmouth.,AAN,loudmouth,loner,tormented,True,False,True
160,Active,Plausible,The windbag taunted the recluse.,The recluse was taunted by the windbag.,AAN,windbag,recluse,taunted,True,False,True
161,Active,Plausible,The imitator fooled the investigator.,The imitator fooled the investigator.,AAN,imitator,investigator,fooled,True,False,True
162,Active,Plausible,The impersonator conned the inspector.,The impersonator conned the inspector.,AAN,impersonator,inspector,conned,True,False,True
163,Active,Plausible,The boss fired the worker.,The worker was fired by the boss.,AAN,boss,worker,fired,False,False,True
164,Active,Plausible,The pyromaniac unnerved the shopkeeper.,The pyromaniac unnerved the shopkeeper.,AAN,pyromaniac,shopkeeper,unnerved,True,False,True
